2098,Port Authority Trans-Hudson Corporation,1.6155949729803385,northeast,34017,9,0.039473684,0.72,NJ,New Jersey,FTA Region2,14,0.125,True,0.028421052,5.290417412664606,5.430473434880197,4.483438278741389
5005,Metro Transit System,0.29538303955295925,midwest,55025,9,0.039473684,0.7,WI,Wisconsin,FTA Region5,14,0.12,True,0.027631579,5.274842613466164,5.413444060726461,5.0489865894046835
3085,Prince George's County Transit,-0.17481533689453654,south,24033,10,0.043859649,0.68,MD,Maryland,FTA Region3,14,0.107,True,0.029824561,5.29052276831191,5.37925982930409,4.868629436611703
3015,Luzerne County Transportation Authority,-0.7345418794634859,northeast,42079,11,0.048245614000000006,0.79,PA,Pennsylvania,FTA Region3,14,0.125,True,0.038114035,5.296989643343038,5.425130303314155,5.215981691098217
5050,Indianapolis and Marion County Public Transportation,0.3934580997442712,midwest,18097,11,0.048245614000000006,0.76,IN,Indiana,FTA Region5,14,0.12,True,0.036666667,5.285238583258773,5.385960085524927,4.548897392154812
3051,Ride-On Montgomery County Transit,0.7755660872280606,south,24031,12,0.052631579000000005,0.68,MD,Maryland,FTA Region3,14,0.107,True,0.035789474,5.277754950974965,5.379410050703305,4.825897718890388
1064,Greater Attleboro-Taunton Regional Transit Authority,-0.6315111996752865,northeast,25005,17,0.074561404,0.79,MA,Massachusetts,FTA Region1,14,0.125,True,0.058903509000000014,5.300462476365134,5.367814210873656,5.138747222274408
4042,Birmingham-Jefferson County Transit Authority,-0.12102858530220145,south,1073,19,0.083333333,0.62,AL,Alabama,FTA Region4,14,0.107,True,0.051666665999999986,5.2776638212686935,5.324977941427988,4.442070058912908
3094,City of Harrisonburg Department of Public Transportation,-1.4815190857863052,south,51660,0,0.0,0.73,VA,Virginia,FTA Region3,14,0.107,True,0.0,5.291947042572269,5.584010118122493,4.740438273312119
3008,Greater Lynchburg Transit Company,-1.1267252788037074,south,51680,5,0.021929825,0.73,VA,Virginia,FTA Region3,13,0.107,True,0.016008772,5.277977364035753,5.459801534179427,4.54850487521718
3023,Beaver County Transit Authority,-1.0709386747892058,northeast,42007,5,0.021929825,0.79,PA,Pennsylvania,FTA Region3,13,0.125,True,0.017324561999999998,5.277083804517531,5.489548292971324,5.233879109353839
5117,Laketran,-0.6907904938410521,midwest,39085,5,0.021929825,0.64,OH,Ohio,FTA Region5,13,0.12,True,0.014035088,5.2803559419143555,5.446022529791058,5.017640241617575
4130,Macon-Bibb County Transit Authority,-1.1647348659760697,south,13021,6,0.026315789,0.53,GA,Georgia,FTA Region4,13,0.107,True,0.013947368,5.278423407737413,5.406257912500014,4.617437782906997
4138,Gwinnett County Board of Commissioners,-0.5670788750968853,south,13135,6,0.026315789,0.53,GA,Georgia,FTA Region4,13,0.107,True,0.013947368,5.298109673606799,5.442577465331488,5.081217461126079
4019,Transit Authority of Northern Kentucky,-0.3304894794046877,south,21117,7,0.030701754,0.72,KY,Kentucky,FTA Region4,13,0.107,True,0.022105263,5.301234329240606,5.444217247926035,4.631749597595594
5118,Northeast Illinois Regional Commuter Railroad Corporation dba: Metra Rail,2.0282224263700432,midwest,17031,7,0.030701754,0.69,IL,Illinois,FTA Region5,13,0.12,True,0.02118421,5.299886953554051,5.462928658821873,4.371692135678004
7048,City of Lawrence,-0.9944172081119595,midwest,20045,9,0.039473684,0.62,KS,Kansas,FTA Region7,13,0.12,True,0.024473684,5.301039646296001,5.456400564956497,4.764507767812869
