"","meanRIskThreshold","scanningRange","numWindows","badImpact","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","officeRole","minNeighbor","param_set_id","copingNum","adaptNum","insufBoost","disasterWindows","windowMissed","windowsOpen","noSolution","utilizedWindows","NeededWidows","notNeeded","usedDisasterWindows","run_id","run_duration"
"124",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,143,42,142,21,514,692,11,25,25,17,0,13,13.8257484436035
"125",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,130,28,148,16,485,678,29,16,16,12,1,23,15.0817263126373
"126",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,145,12,34,7,138,193,13,8,8,4,0,8,12.6623775959015
"127",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,137,16,25,9,146,182,6,5,5,11,0,6,14.6772055625916
"128",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,136,25,42,5,141,203,7,13,13,12,0,11,14.2015602588654
"129",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,137,9,44,4,132,193,9,8,8,1,0,5,13.6939787864685
"130",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,136,12,45,11,127,193,13,8,8,4,0,7,13.8816211223602
"131",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,130,9,38,8,142,201,14,7,7,2,0,1,14.585785150528
"132",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,136,14,36,2,125,171,5,5,5,9,0,21,14.6613998413086
"133",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,141,16,28,5,124,176,15,9,9,7,1,14,17.4475486278534
"134",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,140,13,36,16,142,194,9,7,7,6,0,10,14.6489052772522
"135",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,135,24,39,7,132,199,13,15,15,9,0,9,16.5094954967499
"136",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,146,20,34,12,135,192,12,11,11,9,0,15,17.8547480106354
"137",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,125,25,25,8,111,154,7,11,11,14,1,12,17.5690882205963
"138",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,130,9,40,1,120,181,16,5,5,4,0,20,17.80641913414
"139",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,126,19,37,9,126,172,1,8,8,11,1,22,21.2468299865723
"140",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,146,15,26,3,125,175,18,6,6,9,1,13,21.839423418045
"141",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,144,9,24,5,137,184,16,7,7,2,1,25,13.9039459228516
"142",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,137,13,38,3,131,187,9,9,9,4,0,18,12.404394865036
"143",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,120,21,30,10,137,182,3,12,12,9,0,2,14.0466394424438
"144",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,134,18,33,6,143,190,3,11,11,7,2,4,13.1357581615448
"145",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,142,18,28,3,116,157,7,6,6,12,0,19,14.8426871299744
"146",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,136,21,31,7,145,201,11,14,14,7,0,23,16.894832611084
"147",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,127,21,38,7,125,180,8,9,9,12,1,24,14.9187934398651
"148",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,127,29,22,5,129,168,4,13,13,16,1,16,14.8544049263
"149",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,134,17,27,3,141,188,9,11,11,6,0,3,14.1504735946655
"150",0.4,4,2.71442488522734,0.08,0.25,0.4,6.5,2.5,1000,0,2,6,127,13,32,5,120,165,6,7,7,6,0,17,15.407053232193
"151",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,126,23,138,14,475,665,30,22,22,1,1,7,15.7418148517609
"152",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,139,34,131,19,478,637,7,21,21,13,0,8,15.6439838409424
"153",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,136,30,107,18,497,651,24,23,23,7,0,5,15.6435878276825
"154",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,129,35,136,14,385,554,8,25,25,10,3,20,17.9126262664795
"155",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,136,28,132,19,399,570,19,20,20,8,0,6,17.6962621212006
"156",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,136,33,145,23,442,624,12,25,25,8,4,3,15.4997754096985
"157",0.4,4,7.2417843262665,0.08,0.25,0.4,6.5,2.5,1000,0,2,7,127,24,130,17,457,640,34,19,19,5,1,16,18.8947591781616
