"","meanRIskThreshold","scanningRange","numWindows","badImpact","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","param_set_id","copingNum","adaptNum","insufBoost","windowMissed","windowoOpen","noSolution","riskPerceptionThreshold","run_id","run_duration"
"13",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.655254620342517,1,1.43543220758438
"14",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.427712645639893,1,1.43543220758438
"15",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.489676451123288,1,1.43543220758438
"16",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.208776175713527,1,1.43543220758438
"17",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.377409753760874,1,1.43543220758438
"18",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.373691874674818,1,1.43543220758438
"19",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.349942783046284,1,1.43543220758438
"20",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.526228307325392,1,1.43543220758438
"21",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.274850061567313,1,1.43543220758438
"22",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.437452973620359,1,1.43543220758438
"23",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.394254935800019,1,1.43543220758438
"24",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.418234224468823,1,1.43543220758438
"25",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.340532373631005,1,1.43543220758438
"26",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.407972194760024,1,1.43543220758438
"27",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.462119991090941,1,1.43543220758438
"28",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.190440916548805,1,1.43543220758438
"29",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.317909458623917,1,1.43543220758438
"30",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.45292113478833,1,1.43543220758438
"31",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.259850371907785,1,1.43543220758438
"32",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.344323635791107,1,1.43543220758438
"33",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.352220104107319,1,1.43543220758438
"34",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.377254317490731,1,1.43543220758438
"35",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.449364926432993,1,1.43543220758438
"36",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.35596380465574,1,1.43543220758438
"37",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.460253599111566,1,1.43543220758438
"38",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.352231564387751,1,1.43543220758438
"39",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.314117684527832,1,1.43543220758438
"40",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.274860925032721,1,1.43543220758438
"41",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.373912950495922,1,1.43543220758438
"42",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.576786496334271,1,1.43543220758438
