,agencyid,logcapZscore,region,totalDiasaster,FTARegion,Success Rate,extremeWeatherProb,disasterProb,extremeWeatherThreshold,disasterThreshold,worstWeatherIntensity
0,1013,-0.569039697,northeast,22,FTA Region1,0.79,0.12,0.045,5.764921446000001,5.878937231,5.846131004
1,4043,-0.8156608470000001,south,20,FTA Region4,0.62,0.125,0.05,6.262349187000001,6.371630688,6.3347566760000005
2,6017,-0.234671573,south,20,FTA Region6,0.72,0.125,0.05,6.2546033560000005,6.379891692,6.345005276
3,1061,-0.6169959279999999,northeast,20,FTA Region1,0.79,0.12,0.045,5.766620932,5.88388949,5.82284261
4,4042,-0.121028585,south,19,FTA Region4,0.62,0.125,0.05,6.2667500810000005,6.3712862139999995,6.338989324
5,1003,2.60592746,northeast,18,FTA Region1,0.79,0.12,0.045,5.7492711629999995,5.881452906,5.86750483
6,3001,-0.705518447,south,17,FTA Region3,0.94,0.125,0.05,6.268695701,6.378466245,6.345173779
7,1057,-0.6005787020000001,northeast,17,FTA Region1,0.56,0.12,0.045,5.757807253999999,5.877464756,5.843415096
8,1064,-0.6315111999999999,northeast,17,FTA Region1,0.79,0.12,0.045,5.7667556189999996,5.888847084,5.839388489
9,7016,-1.167233089,midwest,17,FTA Region7,0.67,0.107,0.035,5.285248037,5.418471464,5.376746591
10,4140,-0.8915626409999999,south,17,FTA Region4,0.7,0.125,0.05,6.264977608,6.37837969,6.350535657999999
11,1040,-1.169055819,northeast,17,FTA Region1,0.56,0.12,0.045,5.765808261,5.893285799,5.85009167
12,7003,-0.9053719000000001,midwest,17,FTA Region7,0.67,0.107,0.035,5.28181747,5.428005765,5.36320688
13,1008,0.094663571,northeast,16,FTA Region1,0.79,0.12,0.045,5.762647883,5.877185901,5.837044087000001
14,6008,1.742495161,south,15,FTA Region6,0.63,0.125,0.05,6.266717492000001,6.374907876,6.373503147999999
15,6022,-0.47409538700000003,south,15,FTA Region6,0.84,0.125,0.05,6.256633108,6.385542643,6.371248427
16,4046,-0.293483515,south,15,FTA Region4,0.7,0.125,0.05,6.265237207999999,6.383814642000001,6.329154439
17,4032,-0.38037225799999996,south,15,FTA Region4,0.7,0.125,0.05,6.2527392729999995,6.377289079,6.370186223999999
18,4036,-0.485188952,south,15,FTA Region4,0.7,0.125,0.05,6.257291082999999,6.360716407999999,6.342040657999999
19,4029,0.866136725,south,14,FTA Region4,0.7,0.125,0.05,6.2548336639999995,6.372568705,6.327756029
20,4037,0.572788759,south,14,FTA Region4,0.7,0.125,0.05,6.246643821,6.369513577999999,6.325756171
21,3019,2.412206328,northeast,14,FTA Region3,0.79,0.12,0.045,5.75940254,5.886773734,5.832983655
22,4100,-1.3949448569999998,south,14,FTA Region4,0.5,0.125,0.05,6.259408989,6.379868954,6.364679702
23,4056,-1.268186636,south,14,FTA Region4,0.5,0.125,0.05,6.257454386,6.375234357,6.31876145
24,3030,2.614495288,south,14,FTA Region3,0.88,0.125,0.05,6.26441315,6.3816338120000005,6.337421345
25,4031,-0.920652355,south,13,FTA Region4,0.7,0.125,0.05,6.2502502060000005,6.363761662000001,6.347244673
26,4003,0.322781947,south,13,FTA Region4,0.8,0.125,0.05,6.2558980360000005,6.373376039,6.342837939
27,4063,-0.7750849790000001,south,13,FTA Region4,0.7,0.125,0.05,6.255176087000001,6.380364817999999,6.3274929239999995
28,4028,-0.334766458,south,13,FTA Region4,0.7,0.125,0.05,6.266559455,6.388538116,6.37679979
29,6048,1.160627508,south,13,FTA Region6,0.63,0.125,0.05,6.265918747000001,6.376128382999999,6.34730594
30,4110,-0.387580659,south,13,FTA Region4,0.5,0.125,0.05,6.24484647,6.363586007,6.363586007
31,4040,0.616221016,south,13,FTA Region4,0.7,0.125,0.05,6.26160649,6.366478082,6.343041401
32,3051,0.7755660870000001,south,12,FTA Region3,0.68,0.125,0.05,6.25755685,6.372986168,6.324780112000001
33,4014,-1.151491416,south,12,FTA Region4,0.63,0.125,0.05,6.260327328,6.378323345,6.377533101
34,6033,-0.491700549,south,12,FTA Region6,0.65,0.125,0.05,6.263728127,6.384985705,6.3392454229999995
35,4141,-0.88062661,south,12,FTA Region4,0.5,0.125,0.05,6.267642844,6.389096469,6.3847574510000005
36,4006,-0.9740504740000001,south,12,FTA Region4,0.63,0.125,0.05,6.255816987,6.371792175,6.361482442000001
37,6014,-1.084482782,south,12,FTA Region6,0.63,0.125,0.05,6.25287274,6.3785270370000005,6.348879181
38,4035,0.84940236,south,12,FTA Region4,0.7,0.125,0.05,6.255856204,6.37235879,6.331638363
39,2099,0.163671917,northeast,11,FTA Region2,0.59,0.12,0.045,5.749526297999999,5.888225066,5.814717569
40,2076,0.94117535,northeast,11,FTA Region2,0.59,0.12,0.045,5.758187314,5.883218053999999,5.84353036
41,3018,-0.47466402799999996,northeast,11,FTA Region3,0.79,0.12,0.045,5.766432046,5.903019697,5.875507657000001
42,5050,0.3934581,midwest,11,FTA Region5,0.76,0.107,0.035,5.278954981,5.4149107,5.332478875
43,3015,-0.734541879,northeast,11,FTA Region3,0.79,0.12,0.045,5.767812923999999,5.883510576,5.854808402000001
44,3025,-0.775529702,northeast,11,FTA Region3,0.79,0.12,0.045,5.759656041,5.871845744,5.811020318
45,6024,-0.579595041,south,11,FTA Region6,0.84,0.125,0.05,6.244568036,6.371097705,6.332192855
46,3080,-0.673477688,south,11,FTA Region3,0.73,0.125,0.05,6.250069174,6.357132042999999,6.341197988999999
47,6011,1.1191267040000001,south,11,FTA Region6,0.63,0.125,0.05,6.253685176,6.377636161,6.369202608999999
48,3024,-0.503429971,northeast,11,FTA Region3,0.79,0.12,0.045,5.769879176,5.889140708999999,5.879155115
49,2004,0.889411154,northeast,11,FTA Region2,0.59,0.12,0.045,5.76725286,5.89282392,5.831090787000001
50,0005,-0.37558583,west,11,FTA Region10,0.74,0.08,0.025,4.817819602,4.944266798,4.846350192
51,0040,1.343412211,west,10,FTA Region10,0.74,0.08,0.025,4.82336305,4.966091165,4.828249316
52,7002,-0.153885801,midwest,10,FTA Region7,0.73,0.107,0.035,5.279576484,5.407993769,5.364680328
53,3070,-0.095805233,south,10,FTA Region3,0.73,0.125,0.05,6.253245488999999,6.364555723,6.321779397999999
54,4027,0.40399595299999996,south,10,FTA Region4,0.7,0.125,0.05,6.252848725,6.370965977000001,6.331968482000001
55,3085,-0.174815337,south,10,FTA Region3,0.68,0.125,0.05,6.258482711,6.366767812999999,6.339115087000001
56,3027,-0.510421352,northeast,10,FTA Region3,0.79,0.12,0.045,5.755169734,5.876989855,5.836739971
57,3072,-1.21925063,south,10,FTA Region3,0.68,0.125,0.05,6.2613677160000005,6.383376985,6.354906207999999
58,4018,0.519718522,south,10,FTA Region4,0.72,0.125,0.05,6.258160961000001,6.380548007000001,6.325944047
59,6007,0.391958333,south,10,FTA Region6,0.63,0.125,0.05,6.255178816,6.370929942,6.3196289960000005
60,1001,0.8069473840000001,northeast,10,FTA Region1,0.5,0.12,0.045,5.7693012,5.888452975,5.85944536
61,2084,-0.493913042,northeast,10,FTA Region2,0.59,0.12,0.045,5.767968705,5.8919172920000005,5.831270756
62,0001,1.998703132,west,10,FTA Region10,0.74,0.08,0.025,4.823068932,4.962597494,4.834533565
63,4030,-0.249073905,south,10,FTA Region4,0.7,0.125,0.05,6.261740017999999,6.386119792000001,6.366437099
64,0023,-1.554091495,west,10,FTA Region10,0.74,0.08,0.025,4.806428807,4.953169487,4.835183327
65,6056,1.995215555,south,9,FTA Region6,0.63,0.125,0.05,6.258969723,6.368857496,6.321224186
66,5058,-0.554425243,midwest,9,FTA Region5,0.69,0.107,0.035,5.281128928999999,5.4074078960000005,5.349529469
67,5005,0.29538304,midwest,9,FTA Region5,0.7,0.107,0.035,5.284392801,5.410506347999999,5.373568113999999
68,2098,1.615594973,northeast,9,FTA Region2,0.72,0.12,0.045,5.764910518,5.8914914970000005,5.843838245
69,7048,-0.994417208,midwest,9,FTA Region7,0.62,0.107,0.035,5.282389781,5.420404298999999,5.340214826
70,4022,1.8478612490000002,south,9,FTA Region4,0.53,0.125,0.05,6.2580413539999995,6.372185936,6.323429386
71,5044,-0.717246025,midwest,9,FTA Region5,0.76,0.107,0.035,5.2711718460000005,5.409407244,5.362086431
72,3010,-0.036916005,northeast,9,FTA Region3,0.79,0.12,0.045,5.770560693999999,5.893131315,5.847407904
73,4173,-1.107194732,south,9,FTA Region4,0.63,0.125,0.05,6.24811842,6.361067,6.349531195
74,6009,-0.584169959,south,9,FTA Region6,0.63,0.125,0.05,6.261522458,6.378619777000001,6.357692323999999
75,5004,-1.241111742,midwest,8,FTA Region5,0.7,0.107,0.035,5.277517,5.426802365,5.366250912
76,3091,-1.14562689,south,8,FTA Region3,0.73,0.125,0.05,6.2604022089999996,6.378054065,6.339224424
77,6010,-0.7635618609999999,south,8,FTA Region6,0.63,0.125,0.05,6.248551937999999,6.361532572000001,6.343426501000001
78,7015,-0.615791988,midwest,8,FTA Region7,0.62,0.107,0.035,5.278280276,5.408671097,5.349930755
79,5006,-0.9187625229999999,midwest,8,FTA Region5,0.7,0.107,0.035,5.274592141,5.402128788,5.329511775
80,5015,1.31277334,midwest,8,FTA Region5,0.64,0.107,0.035,5.274657309,5.407391632,5.337366665
81,6101,-0.242251143,south,8,FTA Region6,0.63,0.125,0.05,6.252088497999999,6.366096173,6.334883411
82,3075,0.829258829,northeast,8,FTA Region3,0.82,0.12,0.045,5.761249489,5.895372138,5.835388602999999
83,0019,-0.015799129,west,8,FTA Region10,0.74,0.08,0.025,4.809088763,4.947096398999999,4.816003017
84,5052,-0.813976478,midwest,8,FTA Region5,0.76,0.107,0.035,5.284164566,5.414993722,5.359183715
85,5008,1.001819897,midwest,8,FTA Region5,0.7,0.107,0.035,5.289852518,5.418242299999999,5.360968391
86,5066,2.491506399,midwest,7,FTA Region5,0.69,0.107,0.035,5.277385821,5.4067520710000005,5.331480475
87,5104,0.134790269,midwest,7,FTA Region5,0.76,0.107,0.035,5.276505424,5.4042841820000005,5.370851747000001
88,2082,0.995412858,northeast,7,FTA Region2,0.59,0.12,0.045,5.75232546,5.880101947999999,5.831827996
89,5051,-0.774069584,midwest,7,FTA Region5,0.76,0.107,0.035,5.281159313,5.410589816,5.347727131
90,4078,-0.41449446799999995,south,7,FTA Region4,0.53,0.125,0.05,6.26342203,6.377524234,6.330818826000001
91,5010,0.105024861,midwest,7,FTA Region5,0.64,0.107,0.035,5.276772446,5.416864417,5.334740795
92,3012,-0.86993865,northeast,7,FTA Region3,0.79,0.12,0.045,5.766615271,5.8932892720000005,5.850205224
93,4019,-0.330489479,south,7,FTA Region4,0.72,0.125,0.05,6.258743172000001,6.370096964,6.366097948999999
94,5118,2.028222426,midwest,7,FTA Region5,0.69,0.107,0.035,5.273566651,5.399368759,5.335304869
95,9031,0.303482857,west,7,FTA Region9,0.7,0.08,0.025,4.819609641,4.943068698,4.875369704
96,9079,-0.250644816,west,7,FTA Region9,0.7,0.08,0.025,4.818885292,4.955132942,4.836534323
97,4004,0.397581965,south,7,FTA Region4,0.8,0.125,0.05,6.263447056,6.3788171579999995,6.340700247999999
98,5154,0.455750596,midwest,7,FTA Region5,0.78,0.107,0.035,5.275780688999999,5.4010062560000005,5.350240965
99,0003,0.762394199,west,7,FTA Region10,0.74,0.08,0.025,4.813855205,4.954828246,4.819474952
100,6012,-1.291726514,south,7,FTA Region6,0.63,0.125,0.05,6.249301486,6.367169531,6.346925473
101,3044,-1.188733606,northeast,7,FTA Region3,0.79,0.12,0.045,5.767025361,5.879722333999999,5.825281657000001
102,4007,-0.109572704,south,7,FTA Region4,0.63,0.125,0.05,6.259047355,6.371601657,6.338351578999999
