,agencyid,logcapZscore,region,totalDiasaster,FTARegion,Success Rate,extremeWeatherProb,disasterProb,extremeWeatherThreshold,disasterThreshold,worstWeatherIntensity
101,3044,-1.188733606,northeast,7,FTA Region3,0.79,0.12,0.06,5.877740145,6.010641972,5.97576706
102,4007,-0.109572704,south,7,FTA Region4,0.63,0.125,0.065,6.360413272000001,6.477796381,6.461782017000001
103,5011,-0.453701678,midwest,7,FTA Region5,0.64,0.107,0.05,5.397104382,5.535831491000001,5.464562354
104,5017,0.36833196,midwest,7,FTA Region5,0.64,0.107,0.05,5.394009098,5.532500686000001,5.498047057000001
105,0007,0.196178393,west,7,FTA Region10,0.88,0.08,0.045,4.949891318,5.042150633,4.961896176000001
106,4002,-0.321304152,south,7,FTA Region4,0.8,0.125,0.065,6.369461042,6.476918372999999,6.487393626
107,3054,-0.62650208,northeast,7,FTA Region3,0.79,0.12,0.06,5.877089376,6.020904829,6.021405501
108,9206,-0.8874970659999999,west,7,FTA Region9,0.7,0.08,0.045,4.945073379,5.05287442,4.94677228
109,5056,-0.215963585,midwest,6,FTA Region5,0.69,0.107,0.05,5.383230352000001,5.520553414,5.516776254
110,9151,1.170708826,west,6,FTA Region9,0.7,0.08,0.045,4.95537273,5.0473601630000005,5.021814893999999
111,4001,-0.413900211,south,6,FTA Region4,0.8,0.125,0.065,6.36820574,6.496720401,6.492173221
112,3022,1.597812332,northeast,6,FTA Region3,0.79,0.12,0.06,5.869571683999999,5.995465695,5.963226597
113,2113,0.47762784,northeast,6,FTA Region2,0.59,0.12,0.06,5.882328685,6.008330272,5.99827914
114,4130,-1.1647348659999999,south,6,FTA Region4,0.53,0.125,0.065,6.3570713539999995,6.473975017000001,6.4686732870000005
115,4138,-0.567078875,south,6,FTA Region4,0.53,0.125,0.065,6.369833861,6.493348423,6.465207016
116,8005,-0.508453009,west,6,FTA Region8,0.86,0.08,0.045,4.973760901,5.065908189,4.994373718
117,7001,-0.7488648529999999,midwest,6,FTA Region7,0.73,0.107,0.05,5.388223324,5.53821165,5.500464582999999
118,9087,-1.187325542,west,6,FTA Region9,0.7,0.08,0.045,4.945809659,5.062586943,4.998396474
119,0021,-0.253651406,west,6,FTA Region10,0.74,0.08,0.045,4.960668268,5.057509211,5.038877045
120,8006,1.847711937,west,6,FTA Region8,0.86,0.08,0.045,4.955877878,5.06301386,5.011055734
121,8011,-0.898317413,west,6,FTA Region8,0.86,0.08,0.045,4.960653928999999,5.046923212,5.012162609
122,9001,-0.056247633,west,6,FTA Region9,0.53,0.08,0.045,4.97417499,5.075219474,4.988775498
123,9147,0.52060753,west,6,FTA Region9,0.7,0.08,0.045,4.960957521,5.062344943,5.015202093
124,4087,-0.301539909,south,6,FTA Region4,0.63,0.125,0.065,6.361142747000001,6.487576812,6.46271296
125,9003,1.970242279,west,6,FTA Region9,0.7,0.08,0.045,4.946817179,5.0527751819999995,4.972124902
126,9171,-0.30775711899999997,west,6,FTA Region9,0.7,0.08,0.045,4.959163874,5.054526794,4.984540948
127,5096,-0.8933774879999999,midwest,6,FTA Region5,0.7,0.107,0.05,5.417945036,5.558258209,5.471769354
128,9144,-0.609953442,west,6,FTA Region9,0.7,0.08,0.045,4.964769953,5.0746764010000005,5.03963523
129,9146,0.43034971200000005,west,6,FTA Region9,0.7,0.08,0.045,4.955837097,5.049945395,5.025897878
130,9026,1.293245815,west,6,FTA Region9,0.7,0.08,0.045,4.955633687,5.059734719,4.964923845
131,9030,0.586243821,west,6,FTA Region9,0.7,0.08,0.045,4.951252604,5.039717867,4.989706074
132,5024,-0.860642838,midwest,6,FTA Region5,0.64,0.107,0.05,5.406392309,5.5483128520000005,5.50688607
133,9004,-0.194003115,west,6,FTA Region9,0.7,0.08,0.045,4.954564863,5.05131427,4.992317408
134,9008,0.44044406700000005,west,6,FTA Region9,0.7,0.08,0.045,4.9575828710000005,5.0550857339999995,4.975606773
135,9148,-0.6374372110000001,west,6,FTA Region9,0.7,0.08,0.045,4.944855875,5.038327575,4.969951573
136,9014,1.544879528,west,6,FTA Region9,0.7,0.08,0.045,4.943582183,5.051436371,4.9645602030000004
137,9039,-0.333612285,west,6,FTA Region9,0.7,0.08,0.045,4.9595672660000005,5.059418929,5.027103845
138,9154,2.551389826,west,6,FTA Region9,0.7,0.08,0.045,4.966702186,5.072350402,5.023752715
139,5057,-0.445013974,midwest,5,FTA Region5,0.69,0.107,0.05,5.402826265,5.53291949,5.48207652
140,5022,-0.19143779,midwest,5,FTA Region5,0.64,0.107,0.05,5.387603706,5.5313053839999995,5.5217247689999995
141,3008,-1.126725279,south,5,FTA Region3,0.73,0.125,0.065,6.360178259,6.478101316,6.459749745
142,5117,-0.690790494,midwest,5,FTA Region5,0.64,0.107,0.05,5.379520997999999,5.526636311,5.448304136
143,3023,-1.070938675,northeast,5,FTA Region3,0.79,0.12,0.06,5.879118169,6.011568909,5.987382241000001
144,9219,-1.133724234,west,5,FTA Region9,0.74,0.08,0.045,4.957248033,5.067897455,5.011752935
