"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"baseline"
"06/11/2020 22:31:43:425 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"35","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","37","10745.368003831969","10659","1750","898","144","25","468","196","809","7","19","19","18","0","945","12"
"38","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","39","10656.90862784795","10659","1679","941","97","18","477","128","814","9","18","18","21","0","872","9"
"40","0.4","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","54","10579.40301537198","10659","1666","703","101","3","705","136","792","9","18","18","36","0","880","9"
"37","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","46","11130.258016327938","10659","1756","755","136","14","668","157","847","10","26","26","20","0","913","16"
"39","0.6","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","29","9846.454219787985","10659","1568","1105","28","8","346","71","746","4","10","10","19","0","825","6"
"48","0.6","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","25","10840.760477895963","10659","1719","1274","32","5","355","40","840","6","13","13","12","0","881","7"
"46","0.4","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","43","10455.726707475966","10659","1670","761","205","4","454","230","768","5","16","16","27","0","906","11"
"44","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","40","10137.924694015968","10659","1605","871","100","14","445","159","809","11","16","16","24","0","801","5"
"43","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","45","11029.294884339954","10659","1676","700","134","9","662","146","822","10","25","25","20","0","856","15"
"47","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","44","10968.27670626399","10659","1734","905","128","6","540","135","834","7","20","20","24","0","900","13"
"42","0.6","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","30","10801.561793891979","10659","1708","1154","64","24","369","86","804","8","11","11","19","0","907","3"
"45","0.6","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","28","11153.874369247973","10659","1762","1230","75","12","337","93","838","3","15","15","13","0","928","12"
"41","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","29","11007.103443991977","10659","1680","1032","127","5","339","162","817","5","15","15","14","0","866","10"
"53","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","46","10561.427224471985","10659","1607","808","137","11","439","189","764","8","23","23","23","0","845","15"
"50","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","45","10774.202475332007","10659","1702","895","78","9","590","108","850","12","22","22","23","0","853","10"
