"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"officeRole"
"02/20/2020 21:53:14:664 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","othersInf?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"56","0.3","4","0.08","10","0.25","0.4","4","4","1000","0","48","0.3","0.3","0.03","true","false","true","false","true","true","false","true","false","999","31","5763.0357521399965","55","284","849","1030","71","27","27","4","7"
"57","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","false","true","true","false","true","false","999","40","5697.628810807997","60","262","847","1006","23","28","28","12","3"
"59","0.3","4","0.08","10","0.25","0.4","4","4","1000","3","48","0.3","0.3","0.03","true","false","true","false","true","true","false","true","false","999","35","5483.548368992004","56","264","837","977","15","29","29","6","4"
"58","0.3","4","0.08","10","0.25","0.4","4","4","1000","2","48","0.3","0.3","0.03","true","false","true","false","true","true","false","true","false","999","40","5827.315784660008","73","266","852","1016","22","36","36","4","7"
"61","0.3","4","0.08","10","0.25","0.4","4","4","1000","5","48","0.3","0.3","0.03","true","false","true","false","true","true","false","true","false","999","47","5286.974023431998","85","239","814","983","3","34","34","13","5"
"60","0.3","4","0.08","10","0.25","0.4","4","4","1000","4","48","0.3","0.3","0.03","true","false","true","false","true","true","false","true","false","999","44","4874.083327803997","56","257","788","921","6","29","29","15","10"
"62","0.3","4","0.08","10","0.25","0.4","4","4","1000","6","48","0.3","0.3","0.03","true","false","true","false","true","true","false","true","false","999","44","4995.170596292008","40","243","796","911","2","33","33","11","7"
"67","0.3","4","0.08","10","0.25","0.4","4","4","1000","0","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","999","50","5285.867106640008","103","277","788","1002","16","41","41","9","11"
"63","0.3","4","0.08","10","0.25","0.4","4","4","1000","7","48","0.3","0.3","0.03","true","false","true","false","true","true","false","true","false","999","58","4669.521653548004","62","227","798","944","0","40","40","18","6"
"68","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","999","47","5305.991918136008","51","228","829","951","0","33","33","14","11"
