"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"randomBoost"
"02/18/2020 00:38:12:319 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","startingFund","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","random-orgWindows?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"108","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","51","5530.638638856003","25","232","869","973","5","44","44","7","9"
"106","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","55","5033.074234452007","53","218","819","968","5","46","46","9","11"
"107","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","38","5288.292228912005","86","287","804","986","5","30","30","8","6"
"110","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","47","5659.748283388005","43","261","844","977","1","42","42","5","8"
"109","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","35","5575.3216162600065","75","276","833","987","3","28","28","7","6"
"111","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","43","5414.748342815993","80","249","853","1013","3","33","33","10","14"
"112","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","63","4588.090010244002","44","248","730","886","0","52","52","11","10"
"113","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","31","5732.668621676","75","259","823","1000","16","31","31","0","5"
"114","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","48","5053.865166024003","28","225","786","899","0","41","41","7","9"
"118","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","45","5245.919524896003","50","250","790","918","0","37","37","8","10"
