"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"zeroTolerance"
"06/10/2020 21:52:03:465 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"87","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","144","10671.066071343977","10659","1666","0","282","2","1109","175","788","12","98","98","46","0","882","86"
"86","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","155","9957.322197035983","10659","1580","0","221","3","1154","100","743","10","102","102","53","0","840","92"
"90","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","131","11335.74536135197","10659","1761","0","420","6","1063","175","842","17","97","97","34","0","924","80"
"89","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","126","10679.915511835967","10659","1725","0","415","6","1023","197","830","4","84","84","42","0","900","80"
"91","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","140","10252.353715939982","10659","1652","0","287","4","1144","131","807","15","86","86","54","0","849","71"
"88","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","143","10298.521082007977","10659","1602","0","315","3","1015","172","796","12","97","97","46","0","808","85"
"92","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","139","9938.852281747988","10659","1577","0","272","4","1075","123","768","18","103","103","36","0","810","85"
"93","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","124","11170.292359503952","10659","1731","0","383","2","1079","175","856","15","92","92","32","0","880","77"
"100","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","140","10229.684760207982","10659","1563","0","291","1","1067","122","781","8","82","82","58","0","789","74"
"95","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","135","10732.320161823984","10659","1640","0","335","4","1045","160","748","11","96","96","39","0","894","85"
"98","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","141","11112.632992135976","10659","1712","0","295","1","1174","141","809","12","101","101","40","0","904","89"
"94","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","128","10686.94069000398","10659","1703","0","352","3","1084","185","826","7","79","79","49","0","881","72"
"99","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","129","10359.405356776002","10659","1630","0","366","10","990","181","776","11","83","83","46","0","856","72"
"96","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","147","11107.73616299199","10659","1684","0","242","1","1235","114","798","10","92","92","55","0","890","82"
"97","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","130","10838.086455683984","10659","1661","0","324","6","1112","125","783","17","94","94","36","0","883","77"
