"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"decayAndWindow1"
"03/15/2020 01:24:47:411 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","openWindows?","changeAspiration?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgWindows?","limitedFund?","randomBoost?","orgWindowGen","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows","totalOrgWindows"
"38","0.4","4","0.08","2","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","1000","27","2530.6181023960025","15","334","313","431","5","9","9","18","7","97"
"44","0.4","4","0.08","2","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.012","true","false","true","true","true","true","false","true","""allRandom""","1000","95","2585.2503764840003","67","332","52","438","0","32","32","63","18","106"
"39","0.4","4","0.08","4","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","1000","38","4034.047788284005","27","358","462","662","1","15","15","23","8","304"
"42","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","1000","35","7606.40624798401","53","355","914","1263","2","14","14","21","3","909"
"46","0.4","4","0.08","6","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.012","true","false","true","true","true","true","false","true","""allRandom""","1000","109","5156.744058896007","163","353","151","858","5","56","56","53","9","506"
"41","0.4","4","0.08","8","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","1000","37","6511.2077789680025","33","335","817","1073","11","14","14","23","4","738"
"43","0.4","4","0.08","0","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.012","true","false","true","true","true","true","false","true","""allRandom""","1000","83","2246.2036893120003","33","364","27","364","7","23","23","60","23","0"
"40","0.4","4","0.08","6","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","1000","38","5148.112192468","36","361","589","846","16","18","18","20","7","486"
"47","0.4","4","0.08","8","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.012","true","false","true","true","true","true","false","true","""allRandom""","1000","108","6609.723330387999","182","339","230","1057","2","66","66","42","11","719"
"45","0.4","4","0.08","4","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.012","true","false","true","true","true","true","false","true","""allRandom""","1000","104","3862.1045431000043","112","331","108","622","9","54","54","50","19","292"
"48","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.012","true","false","true","true","true","true","false","true","""allRandom""","1000","99","7697.253291020011","248","375","282","1272","9","64","64","35","9","897"
"50","0.4","4","0.08","2","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.015","true","false","true","true","true","true","false","true","""allRandom""","1000","81","2773.7332650319995","53","370","100","470","0","27","27","54","16","100"
"51","0.4","4","0.08","4","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.015","true","false","true","true","true","true","false","true","""allRandom""","1000","85","3569.766565944001","89","334","155","613","2","43","43","42","12","280"
"49","0.4","4","0.08","0","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.015","true","false","true","true","true","true","false","true","""allRandom""","1000","69","2153.0798137120014","49","354","49","354","8","16","16","53","16","0"
"55","0.4","4","0.08","0","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.018","true","false","true","true","true","true","false","true","""allRandom""","1000","65","2222.2441191840007","32","366","82","366","1","19","19","46","19","0"
