"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"increaseChance"
"02/16/2020 00:49:30:897 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","randomBoost?","random-orgWindows?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"67","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.01","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","18","1072.5939867404688","94","333","793","994","18","16","16","2","5"
"70","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.51","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","32","664.03292830569","60","259","725","853","2","22","22","10","5"
"69","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.01","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","32","1106.2321938136806","103","307","706","909","3","24","24","8","9"
"81","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.01","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","24","891.9368983894506","81","281","711","865","5","16","16","8","6"
"51","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.01","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","50","2827.6277156326846","478","255","2640","3297","97","40","40","10","1"
"82","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.51","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","39","795.4356139404299","76","255","725","884","6","24","24","15","2"
"55","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.01","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","53","2503.8503190756005","452","218","3227","3776","3","44","44","9","1"
"52","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.51","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","49","1394.1367320529807","181","235","1834","2112","4","39","39","10","1"
"84","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.51","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","18","949.3323229668607","92","349","827","1007","12","16","16","2","5"
"83","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.01","48","0.3","0.3","0.03","true","false","true","true","true","false","true","1001","38","777.48572483604","71","264","683","838","6","27","27","11","6"
"53","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.01","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","40","1699.7881310007292","290","255","2404","2777","3","34","34","6","0"
"54","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.51","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","40","2072.856034089538","360","224","2867","3308","12","27","27","13","1"
"56","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.51","48","0.3","0.3","0.03","true","false","true","true","true","false","false","1001","35","4277.656424767437","675","282","4077","4833","1","28","28","7","1"
