"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"baseline"
"06/11/2020 22:51:11:197 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"38","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","54","10837.955038992","10659","1695","726","126","7","654","156","793","13","26","26","28","0","906","13"
"37","0.35","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","47","10456.117165615977","10659","1640","610","172","9","639","187","788","10","23","23","24","0","854","13"
"42","0.35","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","42","10820.91666453596","10659","1664","647","221","20","489","263","812","7","24","24","18","0","854","17"
"43","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","50","10262.042521799993","10659","1645","700","166","5","574","182","824","6","18","18","32","0","825","12"
"40","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","38","11002.79129835596","10659","1731","888","172","7","474","174","824","7","16","16","22","0","911","9"
"45","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","34","10654.974712975963","10659","1685","787","197","1","467","218","853","9","15","15","19","0","835","6"
"41","0.3","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","62","11200.05549460795","10659","1784","617","150","13","806","169","812","14","29","29","33","0","976","15"
"39","0.45","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","43","10373.123063543972","10659","1639","738","169","4","507","199","806","6","22","22","21","0","835","16"
"46","0.3","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","45","10469.060060952002","10659","1613","560","218","9","563","236","789","11","27","27","18","0","827","16"
"50","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","39","10555.529593019974","10659","1656","947","109","8","448","125","732","6","19","19","20","0","925","13"
"44","0.45","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","44","11425.541221131969","10659","1834","839","125","21","690","136","837","11","23","23","21","0","1003","12"
"48","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","46","10006.032725919986","10659","1606","672","179","4","518","209","755","10","24","24","22","0","854","14"
"52","0.35","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","49","10401.960871819987","10659","1641","579","240","10","534","256","786","8","22","22","27","0","860","14"
"49","0.45","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","36","10685.965508335965","10659","1676","818","165","5","465","208","824","5","15","15","21","0","856","10"
"47","0.35","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","47","10759.27091621997","10659","1725","684","243","14","516","237","750","12","31","31","16","0","978","19"
"51","0.3","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","55","10708.883243663988","10659","1701","602","223","5","597","244","797","7","30","30","25","0","907","23"
"54","0.45","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","40","10238.079639883967","10659","1648","733","182","15","462","236","771","6","20","20","20","0","883","14"
"53","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","58","10739.942138231989","10659","1728","720","131","4","676","168","795","7","29","29","29","0","937","22"
"55","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","39","10734.52274474399","10659","1683","840","120","21","539","141","775","5","22","22","17","0","908","17"
"57","0.35","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","44","10194.042315992","10659","1636","628","243","12","485","248","797","8","20","20","24","0","841","12"
"56","0.3","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","51","10656.646305363962","10659","1690","575","213","14","648","216","806","7","24","24","27","0","887","17"
"58","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","46","10269.243495639976","10659","1623","644","182","13","553","208","739","14","23","23","23","0","888","9"
"60","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","36","10570.448036443964","10659","1673","893","139","15","431","180","832","6","15","15","21","0","843","9"
"59","0.45","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","37","11061.582091071949","10659","1745","772","204","7","516","229","844","7","17","17","20","0","903","10"
"66","0.3","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","61","10087.677224579984","10659","1622","580","150","2","685","176","766","14","29","29","32","0","857","15"
"62","0.35","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","48","11611.818093007982","10659","1780","670","170","9","712","191","850","12","28","28","20","0","936","16"
"61","0.3","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","46","11395.645589963975","10659","1797","666","221","6","644","237","822","6","23","23","23","0","977","17"
"65","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","31","11116.170832019932","10659","1717","944","129","15","458","158","838","8","13","13","18","0","880","5"
"63","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","46","10378.486523527985","10659","1658","718","153","16","575","169","763","11","27","27","19","0","898","16"
"64","0.45","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","39","10711.34204884798","10659","1697","793","165","5","544","166","814","13","24","24","15","0","887","11"
"67","0.35","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","49","11112.348202899982","10659","1719","704","167","4","658","162","780","9","24","24","25","0","940","15"
"68","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","53","10665.962611027979","10659","1643","598","158","4","666","196","784","8","21","21","32","0","860","13"
"71","0.3","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","50","10123.224932571966","10659","1633","521","218","6","625","242","832","10","21","21","29","0","803","11"
"74","0.45","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","42","10635.842953823967","10659","1656","716","163","7","567","182","788","12","21","21","21","0","868","9"
"69","0.45","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","47","11301.025531327954","10659","1729","847","72","9","686","91","810","10","24","24","23","0","921","14"
"75","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","27","10416.72000646397","10659","1634","964","157","11","295","196","790","3","11","11","16","0","847","8"
"70","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","35","10767.842044043971","10659","1756","891","165","10","500","174","814","6","16","16","19","0","947","10"
"72","0.35","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","43","10813.523583767976","10659","1713","670","213","12","560","240","812","6","18","18","25","0","903","12"
"73","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","49","10753.790814199949","10659","1719","698","177","8","619","192","768","14","25","25","24","0","953","11"
"77","0.35","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","44","10781.66102239596","10659","1699","646","171","8","626","225","829","12","23","23","21","0","873","11"
"76","0.3","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","58","10371.518624643979","10659","1622","564","112","11","766","138","763","8","31","31","27","0","863","23"
"78","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","45","11050.981575359958","10659","1728","797","127","9","595","178","828","8","22","22","23","0","906","14"
"79","0.45","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","51","10857.174294319993","10659","1650","695","116","9","652","151","804","13","27","27","24","0","847","14"
"80","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","43","10650.801677147965","10659","1693","802","124","2","636","114","842","9","15","15","28","0","855","6"
"81","0.3","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","61","10530.82697243597","10659","1657","590","127","8","739","165","792","8","28","28","33","0","870","20"
"83","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","51","10375.534049143991","10659","1682","683","126","12","695","142","831","13","24","24","27","0","856","11"
