"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"Baseline"
"02/07/2020 12:22:14:480 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"52","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","21","108","312","988","1146","5","16","16","5","7"
"50","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","17","125","323","973","1160","8","11","11","6","3"
"53","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","19","113","286","937","1100","4","15","15","4","5"
"55","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","29","82","269","967","1099","2","20","20","9","5"
"59","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","21","118","300","931","1109","12","14","14","7","4"
"57","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","33","88","290","862","1002","1","18","18","15","8"
"60","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","28","97","299","880","1041","2","17","17","11","2"
"54","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","24","88","305","945","1096","20","12","12","12","4"
"61","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","23","100","301","962","1113","11","11","11","12","2"
"56","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","18","105","348","965","1158","31","15","15","3","7"
"62","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","22","88","289","884","1032","4","12","12","10","3"
"58","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","16","113","344","981","1166","8","14","14","2","4"
"63","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","29","96","294","954","1116","2","20","20","9","6"
"64","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","22","75","303","962","1083","11","13","13","9","4"
"65","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","16","106","306","968","1140","22","15","15","1","3"
"68","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","12","125","313","970","1155","7","8","8","4","2"
"70","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","16","89","301","991","1127","7","14","14","2","5"
"66","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","17","119","273","931","1132","17","12","12","5","3"
"69","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","25","124","315","926","1116","12","16","16","9","3"
"67","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","15","93","285","877","1059","37","11","11","4","4"
"72","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","18","98","337","982","1142","12","12","12","6","2"
"74","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","22","72","256","969","1091","10","16","16","6","6"
"73","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","15","120","325","896","1069","4","14","14","1","6"
"75","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","18","98","295","1017","1177","6","14","14","4","5"
"71","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","35","73","276","906","1049","9","21","21","14","6"
"76","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","18","96","335","924","1081","9","16","16","2","3"
"77","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","11","101","288","926","1081","18","9","9","2","3"
"79","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","17","84","319","1027","1178","19","11","11","6","2"
"80","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","23","66","281","984","1097","5","15","15","8","3"
"81","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","27","107","310","985","1153","2","18","18","9","5"
"78","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","14","95","285","982","1122","12","9","9","5","1"
"83","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","22","106","286","922","1096","14","14","14","8","4"
"82","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","14","101","365","985","1178","36","12","12","2","5"
"86","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","27","106","309","911","1080","5","16","16","11","8"
"84","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","26","113","337","971","1149","7","18","18","8","8"
"88","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","22","81","291","1004","1122","2","14","14","8","4"
"85","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","10","126","330","992","1216","54","10","10","0","3"
"87","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","11","73","327","974","1132","39","9","9","2","3"
"91","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","18","96","285","1012","1183","27","14","14","4","7"
"90","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","12","86","334","954","1131","37","10","10","2","5"
"89","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","12","79","332","944","1086","28","9","9","3","4"
"92","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","25","102","298","942","1090","4","18","18","7","4"
"93","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","24","80","306","969","1124","13","17","17","7","7"
"94","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","18","97","330","998","1157","9","12","12","6","3"
"95","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","14","102","326","1038","1201","13","10","10","4","4"
"96","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","22","123","328","1047","1266","43","15","15","7","4"
"98","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","21","102","324","1010","1168","3","18","18","3","9"
"100","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","20","87","266","926","1059","5","16","16","4","5"
"97","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","10","85","311","984","1132","26","10","10","0","1"
"99","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","27","69","283","996","1117","5","19","19","8","8"
