"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"numOpts"
"06/07/2020 23:21:52:934 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","minNeighbor","memory","disasterUti","EWProbDecay","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalInsufBoost","totalNoSolution","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalAlreadyAdapted","totalOrgOpts","totalUtilizedOrgOpt","totalNonEligibleDisasterOpt"
"43","0.62","4","11","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","37","12329.57034563996","38217","1968","113","5","1037","7","18","18","19","0","382","935","11","76"
"44","0.62","4","12","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","48","13732.07855886795","38217","2115","108","7","1055","4","22","22","26","0","550","1064","18","103"
"46","0.62","4","14","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","39","14528.829942939943","38217","2300","127","4","1114","4","19","19","20","0","402","1191","15","145"
"47","0.62","4","15","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","52","15717.460954243908","38217","2449","70","3","1046","9","32","32","20","0","739","1410","23","61"
"48","0.62","4","16","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","49","16056.910978899929","38217","2575","133","4","1080","5","23","23","26","0","664","1507","18","100"
"53","0.62","4","21","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","44","18840.851234635953","38217","3137","190","13","1142","9","30","30","14","0","738","2005","21","99"
"51","0.62","4","19","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","43","17647.630467927942","38217","2828","254","5","1076","5","24","24","19","0","663","1760","19","132"
"54","0.62","4","22","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","40","19340.756974679945","38217","3069","191","6","1075","5","24","24","16","0","661","2005","19","91"
"52","0.62","4","20","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","46","17803.446856939914","38217","2849","194","22","1054","5","29","29","17","0","740","1802","24","144"
"50","0.62","4","18","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","49","16948.22508245992","38217","2704","133","2","1122","11","25","25","24","0","662","1589","14","79"
"49","0.62","4","17","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","39","17659.180527143886","38217","2851","249","3","1088","7","22","22","17","0","570","1770","15","148"
"55","0.62","4","23","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","42","18695.30793868793","38217","3050","219","13","1048","10","22","22","20","0","561","2017","13","84"
"56","0.62","4","24","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","41","20958.686463823924","38217","3373","306","9","1085","4","30","30","11","0","611","2304","26","110"
"57","0.62","4","25","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","43","20764.375476015884","38217","3316","139","8","1071","3","20","20","23","0","769","2254","17","97"
"58","0.62","4","26","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","38","22013.78722721997","38217","3574","148","7","1081","5","16","16","22","0","722","2508","11","71"
"61","0.62","4","29","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","52","25204.43390076792","38217","3943","157","8","1114","8","32","32","20","0","966","2851","24","75"
"59","0.62","4","27","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","51","22335.248599095823","38217","3541","184","7","1110","10","29","29","22","0","1016","2450","20","99"
"65","0.62","4","2","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","51","7368.957212467996","38217","1151","21","1","1052","13","16","16","35","0","437","100","3","77"
"63","0.62","4","0","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","31","7511.622666327997","38217","1079","43","2","1079","9","9","9","22","0","263","0","0","123"
"60","0.62","4","28","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","41","22131.74270907596","38217","3610","151","9","1062","4","24","24","17","0","788","2563","20","86"
"70","0.62","4","7","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","42","10526.476061251964","38217","1683","68","3","1041","11","20","20","22","0","410","645","9","92"
"72","0.62","4","9","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","33","12336.206799931975","38217","1916","79","4","1083","8","18","18","15","0","375","837","10","113"
"64","0.62","4","1","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","28","7212.328192487991","38217","1081","35","1","1081","6","6","6","22","0","206","0","0","91"
"68","0.62","4","5","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","46","9910.879600875976","38217","1474","61","6","1094","10","18","18","28","0","371","381","8","96"
"71","0.62","4","8","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","42","11329.171289447964","38217","1769","48","1","1095","5","14","14","28","0","419","679","9","70"
"62","0.62","4","30","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","48","26014.549372131976","38217","4121","157","8","1162","10","38","38","10","0","1094","2968","28","111"
"67","0.62","4","4","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","41","9202.020885091984","38217","1400","46","1","1093","7","12","12","29","0","406","308","5","63"
"66","0.62","4","3","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","41","8873.079600547997","38217","1362","68","4","1170","9","11","11","30","0","323","193","2","128"
"69","0.62","4","6","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","36","10925.958784003973","38217","1657","93","3","1138","5","8","8","28","0","403","521","3","115"
"74","0.62","4","11","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","39","13133.499577355984","38217","2043","96","12","1117","8","18","18","21","0","449","932","10","109"
"73","0.62","4","10","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","41","13021.867984835953","38217","2018","106","3","1108","3","14","14","27","0","432","914","11","127"
"75","0.62","4","12","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","41","13369.264624371932","38217","2177","109","33","1108","3","19","19","22","0","443","1073","16","106"
"80","0.62","4","17","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","52","16229.988399839907","38217","2623","115","4","1134","9","27","27","25","0","731","1496","18","95"
"77","0.62","4","14","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","41","14732.07788865994","38217","2322","116","6","1090","4","19","19","22","0","493","1243","15","119"
"76","0.62","4","13","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","39","14121.737616219925","38217","2239","78","8","1084","4","20","20","19","0","513","1161","16","79"
"79","0.62","4","16","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","52","15345.797369563916","38217","2498","139","4","1048","6","25","25","27","0","652","1457","19","121"
"78","0.62","4","15","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","42","15733.54525207992","38217","2517","134","28","1121","5","19","19","23","0","521","1407","14","102"
"81","0.62","4","18","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","59","16823.277980835897","38217","2605","44","4","1093","7","26","26","33","0","840","1517","19","45"
"82","0.62","4","19","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","36","18726.14697085997","38217","2940","169","37","1103","7","23","23","13","0","598","1847","16","88"
"83","0.62","4","20","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","54","18174.1106218919","38217","2961","114","4","1138","7","31","31","23","0","785","1835","25","86"
"84","0.62","4","21","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","45","18260.642184299937","38217","2965","268","8","1093","8","27","27","18","0","739","1881","19","139"
"87","0.62","4","24","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","55","21700.359541335838","38217","3465","99","8","1096","5","33","33","22","0","965","2384","28","78"
"86","0.62","4","23","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","50","20204.05451626391","38217","3189","79","4","1125","3","27","27","23","0","820","2081","24","49"
"89","0.62","4","26","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","53","23245.027782419984","38217","3655","103","5","1094","6","26","26","27","0","1011","2584","20","52"
"85","0.62","4","22","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","37","19810.499857955925","38217","3114","171","7","1087","5","16","16","21","0","625","2034","11","141"
"93","0.62","4","30","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","38","25399.78277565194","38217","4032","154","5","1103","5","24","24","14","0","886","2947","19","56"
"92","0.62","4","29","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","53","23251.2839629839","38217","3694","169","5","1092","10","35","35","18","0","983","2616","25","68"
"88","0.62","4","25","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","51","20969.117152680006","38217","3338","127","5","1036","4","24","24","27","0","878","2316","20","91"
"96","0.62","4","2","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","33","7730.372372219989","38217","1185","62","1","1084","7","8","8","25","0","294","101","1","115"
"95","0.62","4","1","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","47","7680.421869611999","38217","1121","35","10","1121","9","9","9","38","0","339","0","0","119"
"90","0.62","4","27","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","50","23054.323406215946","38217","3740","250","3","1077","6","31","31","19","0","1041","2677","25","87"
"101","0.62","4","7","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","37","11104.287006435987","38217","1716","98","7","1110","3","14","14","23","0","385","608","11","122"
"98","0.62","4","4","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","41","8954.379515708013","38217","1391","51","3","1093","8","18","18","23","0","312","298","10","81"
"91","0.62","4","28","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","36","23668.237187731895","38217","3774","287","9","1141","9","26","26","10","0","661","2645","17","132"
"94","0.62","4","0","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","50","7536.759181588007","38217","1155","27","1","1155","12","12","12","38","0","433","0","0","89"
"97","0.62","4","3","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","38","8085.9946145160075","38217","1226","67","5","1041","14","19","19","19","0","290","185","5","104"
"100","0.62","4","6","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","36","10376.90255780797","38217","1606","67","39","1127","10","18","18","18","0","322","480","8","100"
"109","0.62","4","15","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","56","15869.490759599928","38217","2502","116","8","1118","8","31","31","25","0","683","1390","24","132"
"108","0.62","4","14","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","51","15323.401949139956","38217","2421","68","5","1142","5","22","22","29","0","653","1284","17","91"
"102","0.62","4","8","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","43","11546.855146163987","38217","1806","93","5","1099","9","20","20","23","0","479","711","11","71"
"99","0.62","4","5","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","51","9431.272318563982","38217","1437","34","6","1063","8","19","19","32","0","406","375","11","66"
"105","0.62","4","11","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","46","13281.368022611945","38217","2029","100","15","1098","15","29","29","17","0","550","934","14","96"
"110","0.62","4","16","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","43","16572.79505315194","38217","2574","180","10","1130","6","20","20","23","0","594","1450","14","156"
"107","0.62","4","13","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","39","14571.69404589193","38217","2249","133","14","1071","10","24","24","15","0","430","1185","14","118"
"106","0.62","4","12","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","42","14241.690844575938","38217","2189","76","5","1138","10","24","24","18","0","481","1058","14","80"
"103","0.62","4","9","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","44","11729.215191327947","38217","1831","83","9","1043","6","15","15","29","0","472","795","9","90"
"104","0.62","4","10","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","40","12280.604901507944","38217","1931","106","5","1087","9","23","23","17","0","399","850","14","120"
"111","0.62","4","17","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","47","17302.335844931924","38217","2782","84","12","1103","4","24","24","23","0","568","1685","20","84"
"113","0.62","4","19","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","43","18087.355205803877","38217","2903","113","6","1081","5","24","24","19","0","539","1833","19","81"
"112","0.62","4","18","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","49","17625.615728775938","38217","2801","133","3","1126","5","24","24","25","0","630","1683","19","85"
"117","0.62","4","23","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","44","19129.38847710391","38217","3017","136","5","1060","7","28","28","16","0","748","1963","21","67"
"114","0.62","4","20","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","38","18775.96499761994","38217","2950","188","6","1094","7","22","22","16","0","644","1870","15","95"
"124","0.62","4","30","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","38","24650.821062644005","38217","3835","218","5","1111","7","23","23","15","0","724","2738","16","102"
"115","0.62","4","21","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","42","17853.18754182387","38217","2984","124","39","1094","8","27","27","15","0","623","1900","19","74"
"122","0.62","4","28","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","46","22872.052101935933","38217","3767","147","8","1085","4","20","20","26","0","772","2701","16","79"
"120","0.62","4","26","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","50","21558.62185840401","38217","3463","144","15","1041","5","32","32","18","0","923","2430","27","79"
"121","0.62","4","27","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","50","22490.77873550782","38217","3498","99","20","1122","6","31","31","19","0","876","2392","25","79"
"116","0.62","4","22","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","44","18995.41851588797","38217","3050","146","6","1067","2","18","18","26","0","644","1989","16","88"
"126","0.62","4","1","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","33","7602.222856067987","38217","1145","31","20","1145","10","10","10","23","0","244","0","0","97"
"118","0.62","4","24","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","49","21300.603307867914","38217","3414","219","9","1058","5","25","25","24","0","879","2368","20","84"
"123","0.62","4","29","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","42","25021.2823641199","38217","4026","273","9","1112","5","27","27","15","0","861","2926","22","105"
"129","0.62","4","4","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","40","8911.425129635998","38217","1385","70","6","1093","7","11","11","29","0","331","292","4","108"
"119","0.62","4","25","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","41","21514.216746328024","38217","3544","343","3","1042","8","30","30","11","0","770","2517","23","184"
"131","0.62","4","6","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","47","10477.846147043965","38217","1626","91","4","1129","13","23","23","24","0","391","501","10","151"
