"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"otherInf"
"02/20/2020 18:42:04:061 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","startingFund","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","othersInf?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"57","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","148","2104.8939790000027","234","131","35","485","6","125","125","23","13"
"58","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","136","2392.418818748004","318","169","28","568","2","116","116","20","21"
"60","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","136","2287.8134590520012","309","158","18","561","8","118","118","18","12"
"61","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","127","2485.6099115360043","332","170","35","595","8","104","104","23","17"
"62","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","145","1801.2148617640003","278","134","21","508","3","114","114","31","16"
"59","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","146","2014.5108582560008","262","147","25","505","2","125","125","21","16"
"63","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","128","2696.3268272879995","362","182","42","647","4","119","119","9","13"
"64","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","130","2343.449809040004","324","188","16","581","4","112","112","18","19"
"65","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","130","2382.8481728120055","337","149","34","593","8","109","109","21","14"
"66","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","136","2410.94514644","288","175","38","560","12","118","118","18","21"
"67","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","146","1948.3633699320017","224","147","20","471","9","119","119","27","13"
"68","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","137","2268.5160056320024","307","163","8","552","7","119","119","18","13"
"69","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","121","2383.408292604003","332","155","15","561","2","108","108","13","16"
"71","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","127","2483.356624999999","310","175","27","580","8","113","113","14","16"
"70","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","127","2451.0095135880038","297","177","19","573","23","111","111","16","6"
"72","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","128","2449.4006268440053","321","158","24","571","6","110","110","18","9"
"73","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","120","2542.557820796005","355","188","21","620","9","111","111","9","15"
"74","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","120","2766.4334508280076","365","201","38","657","17","105","105","15","15"
"75","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","135","2367.8721277679992","299","178","33","568","2","115","115","20","15"
"76","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","133","2455.1434096240023","325","189","25","603","5","121","121","12","15"
