"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"enoughCap"
"06/10/2020 21:52:46:314 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"41","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","117","82193.2570318921","10659","1784","710","0","2","1072","0","831","0","0","0","117","0","954","0"
"40","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","117","76998.91733959605","10659","1659","650","0","3","1006","0","801","0","0","0","117","0","867","0"
"46","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","112","74021.89498111611","10659","1600","636","0","7","957","0","798","0","0","0","112","0","802","0"
"44","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","110","78623.00018664014","10659","1693","654","0","4","1035","0","810","0","0","0","110","0","885","0"
"50","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","118","77387.96567800015","10659","1671","580","0","4","1087","0","770","0","0","0","118","0","905","0"
"49","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","111","81551.77567732413","10659","1759","763","0","8","988","0","829","0","0","0","111","0","931","0"
"48","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","114","80369.65520791202","10659","1734","641","0","4","1089","0","830","0","0","0","114","0","905","0"
"47","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","97","80701.27725140408","10659","1742","890","0","3","849","0","831","0","0","0","97","0","916","0"
"52","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","116","78299.13767483612","10659","1688","664","0","1","1023","0","846","0","0","0","116","0","845","0"
"51","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","118","77811.345984932","10659","1679","580","0","4","1095","0","816","0","0","0","118","0","863","0"
"53","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","109","74780.80430782796","10659","1622","660","0","4","958","0","773","0","0","0","109","0","852","0"
"54","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","107","75347.05557120411","10659","1622","680","0","3","939","0","794","0","0","0","107","0","831","0"
"55","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","106","78748.60215348408","10659","1704","686","0","7","1011","0","763","0","0","0","106","0","943","0"
"56","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","124","77204.45020549223","10659","1658","513","0","7","1138","0","809","0","0","0","124","0","854","0"
"57","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","106","74384.31448783606","10659","1609","730","0","3","876","0","795","0","0","0","106","0","821","0"
"58","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","120","78586.26208311596","10659","1699","590","0","3","1106","0","829","0","0","0","120","0","872","0"
"61","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","117","79783.97881462034","10659","1716","707","0","5","1004","0","837","0","0","0","117","0","881","0"
"59","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","103","78280.4160893003","10659","1691","772","0","5","914","0","819","0","0","0","103","0","876","0"
"62","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","116","78691.09648769604","10659","1690","605","0","3","1082","0","792","0","0","0","116","0","904","0"
"60","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","108","76858.52197717632","10659","1663","627","0","6","1030","0","808","0","0","0","108","0","857","0"
"63","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","111","76305.70963820421","10659","1647","636","0","4","1007","0","806","0","0","0","111","0","844","0"
"65","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","107","79634.72095016409","10659","1723","769","0","3","951","0","796","0","0","0","107","0","933","0"
"64","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","120","77176.467416844","10659","1672","577","0","2","1093","0","772","0","0","0","120","0","906","0"
"68","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","123","74417.63691174015","10659","1611","557","0","3","1051","0","755","0","0","0","123","0","862","0"
"66","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","116","83156.48448149621","10659","1793","705","0","3","1085","0","860","0","0","0","116","0","939","0"
"67","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","110","77158.65455301618","10659","1663","646","0","5","1012","0","812","0","0","0","110","0","855","0"
"69","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","103","76156.90324863621","10659","1646","623","0","4","1019","0","792","0","0","0","103","0","855","0"
"72","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","119","77903.28016659206","10659","1683","640","0","1","1042","0","756","0","0","0","119","0","931","0"
"71","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","117","79971.2396048921","10659","1722","624","0","8","1090","0","819","0","0","0","117","0","909","0"
"76","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","112","80146.01380170399","10659","1732","698","0","6","1028","0","837","0","0","0","112","0","899","0"
"74","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","111","77894.08053070414","10659","1677","691","0","5","981","0","815","0","0","0","111","0","868","0"
"70","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","122","75097.67543726022","10659","1622","583","0","0","1039","0","770","0","0","0","122","0","854","0"
"73","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","105","74237.32227982412","10659","1602","606","0","4","992","0","809","0","0","0","105","0","794","0"
"78","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","119","78166.00285804017","10659","1689","542","0","1","1146","0","828","0","0","0","119","0","866","0"
"77","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","111","77655.10703015617","10659","1677","644","0","3","1030","0","792","0","0","0","111","0","891","0"
"75","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","98","80681.61977527593","10659","1745","809","0","3","933","0","837","0","0","0","98","0","912","0"
"81","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","106","77562.61209113609","10659","1675","647","0","4","1024","0","790","0","0","0","106","0","888","0"
"79","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","113","72768.01306969606","10659","1566","595","0","3","968","0","762","0","0","0","113","0","807","0"
"80","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","108","79244.33919752005","10659","1709","666","0","2","1041","0","814","0","0","0","108","0","899","0"
"82","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","113","78632.41570249242","10659","1689","746","0","4","939","0","778","0","0","0","113","0","915","0"
"83","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","127","82881.74335816414","10659","1789","612","0","5","1172","0","839","0","0","0","127","0","951","0"
"84","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","112","79822.90583822396","10659","1720","741","0","4","975","0","820","0","0","0","112","0","902","0"
"85","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","98","82086.8565037842","10659","1772","830","0","4","938","0","855","0","0","0","98","0","919","0"
"86","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","125","78557.91739148008","10659","1692","610","0","4","1078","0","804","0","0","0","125","0","893","0"
"87","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","119","74481.05506429609","10659","1605","575","0","5","1025","0","763","0","0","0","119","0","850","0"
