"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"AspirationOn"
"01/17/2020 16:30:59:252 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","officeRole","changeAspiration","b1","EWProbDecay","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"62","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0","1001","3","0","0","0","0","0","0","0","3","0"
"64","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0","1001","9","0","0","0","0","0","0","0","9","0"
"72","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0.02","1001","10","0","0","0","0","0","0","0","10","0"
"63","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0","1001","15","0","0","0","0","0","0","0","15","0"
"65","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0","1001","11","0","0","0","0","0","0","0","11","0"
"68","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0.01","1001","9","0","0","0","0","0","0","0","9","0"
"67","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0.01","1001","7","0","0","0","0","0","0","0","7","0"
"66","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0.01","1001","15","0","0","0","0","0","0","0","15","0"
"76","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0.03","1001","5","0","0","0","0","0","0","0","5","0"
"77","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0.03","1001","0","0","0","0","0","0","0","0","0","0"
"71","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0.02","1001","2","0","0","0","0","0","0","0","2","0"
"75","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0.02","1001","3","0","0","0","0","0","0","0","3","0"
"78","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0.03","1001","0","0","0","0","0","0","0","0","0","0"
"73","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0.02","1001","0","0","0","0","0","0","0","0","0","0"
"70","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0.01","1001","5","0","0","0","0","0","0","0","5","0"
"69","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0.01","1001","18","0","0","0","0","0","0","0","18","0"
"74","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0.02","1001","14","0","0","0","0","0","0","0","14","0"
"80","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0.03","1001","7","0","0","0","0","0","0","0","7","0"
"79","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0.03","1001","5","0","0","0","0","0","0","0","5","0"
"83","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0","1001","0","0","0","0","0","0","0","0","0","0"
"82","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0","1001","8","0","0","0","0","0","0","0","8","0"
"81","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0","1001","11","0","0","0","0","0","0","0","11","0"
"84","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0","1001","11","0","0","0","0","0","0","0","11","0"
"85","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0","1001","19","0","0","0","0","0","0","0","19","0"
"87","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0.01","1001","6","0","0","0","0","0","0","0","6","0"
