"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"nonRandomWindow"
"02/20/2020 14:59:39:135 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","startingFund","increaseChance","reduceWindows","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"70","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","66","5320.97450741601","0.025492584006226338","80","192","1503","1661","1","56","56","10","6"
"68","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","62","5320.9852725120045","0.014727487989065313","144","219","1454","1700","0","54","54","8","7"
"66","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","57","5320.996660392009","0.0033396079968603942","86","192","1620","1775","1","52","52","5","5"
"75","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","56","5320.039893640009","0.9601063599925741","49","230","804","946","5","46","46","10","6"
"72","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","57","5320.848748992003","0.15125100799704105","126","217","1607","1838","3","54","54","3","4"
"74","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","66","5320.996117208001","0.0038827919963662083","71","215","1519","1679","1","52","52","14","9"
"77","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","54","4480.295954504007","840.7040454959871","35","222","708","833","6","45","45","9","10"
"76","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","58","5320.984246256","0.015753744001647085","67","187","1587","1736","5","51","51","7","8"
"79","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","35","5319.6640871719965","1.335912827994258","60","256","835","975","10","32","32","3","8"
"81","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","50","4850.909198748","470.0908012519982","49","218","754","893","3","45","45","5","9"
"83","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","55","4611.63221328801","709.3677867119927","35","212","721","844","2","46","46","9","5"
"78","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","65","5320.801492596007","0.1985074039949466","108","221","1553","1750","1","60","60","5","6"
"85","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","49","5320.85938772799","0.14061227199582937","63","264","811","977","3","45","45","4","11"
"87","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","52","4548.406093888007","772.5939061119967","36","232","716","835","6","45","45","7","17"
"82","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","67","5320.989949964007","0.01005003599226928","58","190","1514","1656","1","56","56","11","2"
"89","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","65","4466.419155676005","854.580844323986","23","208","730","840","5","53","53","12","13"
"80","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","74","5320.957235512003","0.042764487996791","49","150","1411","1530","0","54","54","20","4"
"84","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","58","5320.99098005601","0.009019943994424295","94","187","1635","1806","10","46","46","12","4"
"88","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","64","5320.957952352004","0.04204764799762284","123","227","1510","1751","5","55","55","9","2"
"91","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","61","4652.043239452009","668.9567605479987","37","214","742","863","2","51","51","10","12"
"93","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","48","5229.433245144001","91.56675485599732","47","259","807","948","5","40","40","8","11"
"86","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","69","5320.853865392001","0.14613460798710154","105","210","1388","1588","2","57","57","12","9"
"90","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","60","5320.917801132001","0.08219886799798592","81","179","1539","1699","0","50","50","10","4"
"95","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","46","5320.473042104004","0.5269578959949293","47","258","855","1009","9","42","42","4","9"
"92","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","58","5320.996221744004","0.0037782559869672383","89","209","1543","1706","3","52","52","6","6"
"97","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","59","4785.416288240011","535.5837117599891","40","209","758","874","0","43","43","16","5"
"99","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","47","5320.188502484005","0.8114975159924311","48","236","831","972","6","41","41","6","8"
"96","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","70","5320.987056424009","0.012943575994913026","99","180","1460","1648","2","60","60","10","1"
"101","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","59","4948.976646095999","372.02335390399486","31","240","761","878","1","48","48","11","7"
"98","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","64","5320.9813647240035","0.018635275996499168","89","216","1565","1740","3","54","54","10","6"
"103","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","54","4776.4926300479965","544.5073699520023","38","228","731","854","3","44","44","10","8"
"105","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","49","4959.413892308011","361.58610769199265","45","242","817","941","6","34","34","15","10"
"100","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","57","5320.953165304008","0.046834695995957354","82","216","1568","1735","1","49","49","8","2"
