BehaviorSpace results (NetLogo 6.0.2),,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation_ABM_update2020.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,
adaptation,,,,,,,,,,,,,,,,,,,,,,,,,,
01/13/2020 22:47:55:836 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,,,,,,,,,,
[run number],meanRiskThreshold,scanningRange,badImpact,numWindows,impactReductionRate,maxCopingReduction,adaptationCost,capBoost,simTicks,minNeighbor,officeRole,changeAspiration,EWProbDecay,b1,[step],count orgs with [coping-change?],count orgs with [adaptation-change?],totalInsufBoost,totalDisasterWindows,totalwindowMissed,totalWindowOpen,totalNoSolution,totalUtilizedWindows,totalNeededWidows,sufficientCap,totalUtilizedDisasterWindows
79,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,1,1001,154,16,123,331,31,331,43,10,10,6,10
66,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.6,1001,147,16,109,336,25,336,74,8,8,8,8
81,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0,1001,122,28,76,302,108,302,8,14,14,14,14
84,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0,1001,118,11,90,359,125,359,34,5,5,6,5
83,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0,1001,128,8,82,317,108,317,37,5,5,3,5
85,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0,1001,122,12,70,310,112,310,29,6,6,6,6
86,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0,1001,111,20,81,306,116,306,5,11,11,9,11
88,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0,1001,120,14,86,310,101,310,16,7,7,7,7
90,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0,1001,120,7,78,332,98,332,71,2,2,5,2
93,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.3,1001,123,6,60,320,91,320,84,5,5,1,5
89,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0,1001,112,20,100,294,107,294,3,9,9,11,9
87,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0,1001,114,21,78,314,122,314,7,11,11,10,11
92,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.3,1001,112,22,90,309,97,309,4,6,6,16,6
91,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.3,1001,122,9,112,375,120,375,39,6,6,3,6
97,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.3,1001,130,7,91,335,122,335,40,7,7,0,7
96,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.3,1001,116,13,104,313,95,313,8,9,9,4,9
108,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.6,1001,116,19,85,297,102,297,11,5,5,14,5
103,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.6,1001,113,14,75,289,100,289,12,6,6,8,6
98,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.3,1001,126,9,82,349,102,349,84,5,5,4,5
95,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.3,1001,115,19,88,336,109,336,14,12,12,7,12
101,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.6,1001,124,14,102,373,132,373,18,5,5,9,5
94,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.3,1001,110,18,107,333,106,333,19,10,10,8,10
107,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.6,1001,118,26,99,302,94,302,3,14,14,12,14
100,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.3,1001,112,13,95,311,109,311,18,4,4,9,4
105,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.6,1001,114,12,69,299,94,299,42,8,8,4,8
109,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.6,1001,124,18,94,324,117,324,17,8,8,10,8
104,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.6,1001,115,23,110,342,119,342,10,11,11,12,11
99,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.3,1001,112,24,89,302,91,302,16,13,13,11,13
102,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.6,1001,126,1,81,354,115,354,58,1,1,0,1
110,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.6,1001,131,15,101,340,105,340,18,6,6,9,6
112,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,1,1001,121,7,137,374,94,374,29,4,4,3,4
106,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0.6,1001,124,9,103,328,109,328,13,6,6,3,6
111,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,1,1001,118,21,80,316,116,316,11,12,12,9,12
113,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,1,1001,126,16,83,324,92,324,40,10,10,6,10
115,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,1,1001,120,15,96,330,103,330,8,8,8,7,8
114,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,1,1001,121,24,82,293,82,293,3,9,9,15,9
117,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,1,1001,123,12,94,319,95,319,15,9,9,3,9
118,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,1,1001,121,4,78,373,120,373,80,3,3,1,3
116,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,1,1001,117,15,99,306,96,306,22,5,5,10,5
121,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0,1001,111,18,30,308,227,308,7,3,3,15,3
119,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,1,1001,121,11,81,309,106,309,12,5,5,6,5
128,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0,1001,111,7,34,353,274,353,11,5,5,2,5
124,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0,1001,106,10,39,332,238,332,7,7,7,3,7
129,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0,1001,106,10,34,378,299,378,14,1,1,9,1
127,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0,1001,110,16,32,313,241,313,7,2,2,14,2
122,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0,1001,106,10,31,341,257,341,7,2,2,8,2
125,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0,1001,110,5,29,330,260,330,7,3,3,2,3
130,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0,1001,111,12,32,315,230,315,10,5,5,7,5
120,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,1,1001,125,6,65,318,109,318,60,4,4,2,4
123,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0,1001,103,15,29,292,217,292,2,8,8,7,8
126,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0,1001,116,3,24,341,255,341,32,3,3,0,3
134,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.3,1001,108,5,40,320,230,320,6,0,0,5,0
137,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.3,1001,102,11,38,319,229,319,5,4,4,7,4
133,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.3,1001,111,8,32,332,243,332,14,3,3,5,3
136,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.3,1001,110,5,29,360,276,360,17,4,4,1,4
131,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.3,1001,114,6,41,351,252,351,19,2,2,4,2
132,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.3,1001,109,2,46,321,223,321,15,2,2,0,2
135,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.3,1001,99,9,45,328,230,328,15,3,3,6,3
138,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.3,1001,104,14,18,277,222,277,2,2,2,12,2
139,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.3,1001,109,2,29,334,239,334,23,1,1,1,1
140,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.3,1001,113,14,32,321,240,321,10,4,4,10,4
141,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.6,1001,112,6,37,358,266,358,12,1,1,5,1
142,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.6,1001,103,6,39,317,241,317,6,2,2,4,2
143,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.6,1001,119,8,28,332,253,332,16,2,2,6,2
145,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.6,1001,104,4,34,300,224,300,9,1,1,3,1
147,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.6,1001,116,7,40,324,227,324,15,5,5,2,5
144,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.6,1001,107,7,31,315,245,315,3,4,4,3,4
149,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.6,1001,110,10,40,320,230,320,18,2,2,8,2
146,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.6,1001,105,3,38,351,246,351,24,3,3,0,3
148,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.6,1001,99,8,36,331,247,331,10,2,2,6,2
152,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,1,1001,109,5,34,343,266,343,12,2,2,3,2
151,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,1,1001,105,6,33,325,254,325,3,3,3,3,3
150,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,0.6,1001,105,5,41,350,251,350,22,2,2,3,2
153,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,1,1001,106,6,36,360,271,360,10,4,4,2,4
159,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,1,1001,103,13,35,337,241,337,9,5,5,8,5
158,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,1,1001,105,9,33,331,247,331,10,6,6,3,6
157,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,1,1001,102,6,43,328,231,328,9,4,4,2,4
154,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,1,1001,97,14,34,304,223,304,9,2,2,12,2
156,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,1,1001,120,1,20,338,250,338,37,1,1,0,1
155,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,1,1001,100,4,31,338,244,338,21,2,2,2,2
160,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.03,1,1001,110,7,21,341,261,341,20,4,4,3,4
