"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"network"
"02/18/2020 17:58:27:771 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"65","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1000","19","2737.551898208001","105","316","768","961","4","17","17","2","4"
"67","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","true","1000","15","2811.2576528720024","140","301","725","960","4","11","11","4","1"
"66","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","true","1000","19","2672.0723583920044","74","305","786","950","15","13","13","6","3"
"64","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","false","1000","24","2349.905498918002","83","293","689","844","2","20","20","4","5"
"70","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","false","1000","27","2426.348194036001","100","297","731","925","22","11","11","16","2"
"68","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","true","1000","27","2575.321410636002","91","325","744","926","7","16","16","11","1"
"71","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","false","1000","20","2616.046537292002","86","307","754","944","23","17","17","3","6"
"73","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1000","24","2583.3068127460065","120","291","750","944","3","13","13","11","2"
"74","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","true","1000","23","2587.541563204001","111","319","734","942","1","14","14","9","5"
"72","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","false","1000","33","2281.4859320900027","80","304","744","889","3","14","14","19","4"
"76","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","true","1000","20","2580.2912045800044","87","302","786","958","3","12","12","8","3"
"75","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","true","1000","31","2415.682206346001","99","300","715","903","3","18","18","13","3"
"77","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","false","1000","19","2424.6456846860015","72","290","731","900","45","12","12","7","4"
"78","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","false","1000","6","2922.2416764740037","77","329","804","994","68","5","5","1","1"
"79","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","false","1000","25","2599.507566486007","103","265","748","924","11","11","11","14","2"
"80","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","false","1000","28","2506.6271222239993","108","333","641","878","11","24","24","4","7"
"81","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1000","31","2445.2755818940004","59","294","758","906","19","18","18","13","5"
"82","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","true","1000","23","2380.6514911260015","77","285","708","868","11","12","12","11","3"
"83","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","true","1000","22","2200.557901110002","62","258","719","838","4","7","7","15","0"
"85","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","false","1000","18","2700.011510910002","109","309","728","951","47","11","11","7","2"
"84","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","true","1000","27","2481.4411126020036","101","292","717","890","1","15","15","12","5"
"87","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","false","1000","27","2307.983011836001","87","271","672","825","14","17","17","10","5"
"88","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","false","1000","16","2884.3229390660053","115","338","791","1012","13","14","14","2","6"
"86","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","false","1000","18","2719.175194992","83","305","738","930","43","10","10","8","1"
"89","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1000","17","2690.540683054002","101","296","724","904","22","15","15","2","4"
"90","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","true","1000","19","2496.9126437000045","118","310","694","912","15","13","13","6","6"
"91","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","true","1000","37","2437.1717871079995","77","307","770","920","3","24","24","13","4"
"94","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","false","1000","6","3180.3885343419984","79","343","861","1045","40","6","6","0","3"
"98","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","true","1000","23","2426.1122793240042","113","301","673","884","7","13","13","10","2"
"95","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","false","1000","34","2268.9074881000015","73","286","695","870","9","22","22","12","10"
"92","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","true","1000","27","2453.5321478480005","107","292","698","878","1","21","21","6","8"
"97","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1000","18","2708.792756426001","96","351","754","966","22","15","15","3","6"
"96","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","false","1000","29","2546.5439303900007","77","315","753","929","11","18","18","11","4"
"99","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","true","1000","15","2768.6141250140026","102","339","777","987","16","12","12","3","3"
"93","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","false","1000","8","3090.639382216","62","359","834","1049","101","6","6","2","1"
"100","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","true","1000","22","2841.121120023997","99","327","788","977","8","15","15","7","6"
"102","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","false","1000","19","2595.183498572001","78","313","747","924","35","16","16","3","7"
"104","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","false","1000","26","2628.809963836001","106","311","750","946","2","23","23","3","7"
"101","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","false","1000","13","2866.9407628240037","111","328","814","1025","43","8","8","5","0"
"105","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1000","26","2311.184192108002","94","288","710","877","11","12","12","14","4"
"106","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","true","1000","23","2420.438905872002","87","270","736","888","8","9","9","14","3"
"103","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","false","1000","19","2689.3717955120023","86","278","750","933","30","14","14","5","5"
"107","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","true","1000","11","2802.7083302279993","110","309","751","954","15","11","11","0","3"
"109","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","false","1000","15","2715.660560160004","81","332","744","935","37","12","12","3","2"
"108","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","true","1000","19","2696.0660542500077","82","324","756","927","4","15","15","4","3"
"110","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","false","1000","17","2726.9358772440037","70","297","763","938","35","14","14","3","4"
"113","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1000","27","2415.2133542760025","87","263","721","897","11","16","16","11","5"
"112","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","false","1000","29","2529.097698324001","82","300","750","918","4","23","23","6","4"
"111","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","false","1000","13","2900.341972878004","111","334","777","985","31","10","10","3","1"
"115","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","true","1000","29","2599.7006658819987","82","288","768","930","10","22","22","7","4"
"114","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","true","1000","25","2510.232635178003","93","264","691","864","7","19","19","6","4"
