"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"lowerDecay"
"02/14/2020 22:34:44:268 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"60","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","25","143","289","10902","11078","7","19","19","6","1"
"62","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","93","5060","181","1890","7167","19","77","77","16","1"
"68","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","71","6639","248","1918","8811","41","64","64","7","1"
"67","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","105","5980","183","328","6533","18","87","87","18","1"
"63","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","73","3118","163","5209","8448","2","57","57","16","0"
"58","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","44","1078","274","8868","10049","10","38","38","6","0"
"71","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","46","264","241","9473","9808","23","35","35","11","0"
"66","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","12","112","316","11888","12050","34","10","10","2","0"
"65","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","32","348","285","10420","10810","4","20","20","12","1"
"69","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","71","3356","179","4889","8396","16","60","60","11","2"
"70","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","33","1280","280","9467","10837","17","29","29","4","0"
"72","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","23","94","291","11101","11238","21","18","18","5","1"
"78","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","24","95","286","11175","11293","6","13","13","11","0"
"73","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","82","7448","239","349","8054","21","77","77","5","0"
"76","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","37","1301","251","9065","10511","68","32","32","5","1"
"74","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","95","4963","175","2106","7274","19","78","78","17","0"
"81","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","65","3497","219","5414","9072","6","59","59","6","1"
"77","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","27","334","301","10749","11148","16","25","25","2","0"
"75","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","57","3438","224","5877","9514","49","48","48","9","1"
"80","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","69","6289","205","2330","8843","21","62","62","7","1"
"79","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","93","6708","182","350","7300","31","83","83","10","0"
"82","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","40","1204","254","9043","10439","114","35","35","5","1"
"83","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","39","200","251","10054","10300","3","34","34","5","1"
"84","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","18","121","327","11625","11785","12","14","14","4","0"
"85","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","91","6700","218","337","7297","24","82","82","9","0"
"87","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","54","3394","214","5970","9553","38","51","51","3","0"
"86","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","73","6083","206","2140","8498","81","66","66","7","0"
"91","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","110","5529","148","329","6037","7","82","82","28","2"
"88","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","55","1077","236","8115","9286","4","49","49","6","0"
"92","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","93","5091","200","1962","7285","19","82","82","11","2"
"89","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","33","294","295","10218","10561","12","25","25","8","0"
"94","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","37","1325","282","9108","10518","8","32","32","5","0"
"93","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","52","4018","244","5580","9770","24","44","44","8","1"
"90","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","24","184","315","11201","11430","17","20","20","4","0"
"97","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","93","6619","202","372","7211","3","77","77","16","0"
"99","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","80","2873","197","4899","7926","5","59","59","21","1"
"96","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","24","96","275","11004","11120","2","15","15","9","0"
"95","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","28","394","254","10721","11168","10","25","25","3","0"
"98","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","85","5023","169","2329","7617","87","71","71","14","1"
"105","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","41","4187","246","5871","10308","101","39","39","2","1"
"106","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","42","1260","264","9032","10404","16","38","38","4","0"
"100","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","28","1588","277","9266","11005","63","26","26","2","0"
"104","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","75","6025","215","1966","8208","8","65","65","10","1"
"103","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","86","7272","201","285","7782","9","69","69","17","0"
"102","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","20","95","293","11371","11497","12","14","14","6","0"
"101","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","33","363","277","10421","10844","17","28","28","5","0"
"107","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","37","323","270","10315","10692","17","29","29","8","2"
"110","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","90","5405","203","2233","7848","5","82","82","8","4"
"108","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","18","134","307","11688","11872","29","16","16","2","0"
"111","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","44","4593","269","5456","10241","21","41","41","3","1"
"112","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","31","1616","280","9089","10805","18","30","30","1","0"
"109","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","56","8853","250","267","9419","88","55","55","1","2"
"113","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","33","307","267","10483","10843","5","27","27","6","0"
"115","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","92","6638","234","287","7219","52","77","77","15","0"
"117","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","49","3986","249","5588","9757","11","43","43","6","1"
"119","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","42","163","245","9886","10100","14","32","32","10","1"
"114","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","14","216","337","11536","11784","14","11","11","3","0"
"116","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","79","5840","225","2358","8433","30","70","70","9","1"
"118","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","44","1223","249","8712","10014","7","33","33","11","4"
"121","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","95","6485","198","347","7054","7","75","75","20","0"
"120","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","8","126","310","11860","12028","26","8","8","0","0"
"126","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","29","103","298","10842","10975","8","18","18","11","0"
"122","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","76","5970","208","2152","8370","38","68","68","8","1"
"123","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","51","4177","256","5312","9711","43","46","46","5","1"
"127","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","91","6692","179","407","7313","16","78","78","13","2"
"124","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","38","1300","241","9073","10479","17","36","36","2","0"
"128","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","68","6012","225","2527","8759","18","61","61","7","0"
"125","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","24","291","311","11039","11425","54","22","22","2","0"
"130","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","44","1292","236","8836","10233","17","35","35","9","0"
"129","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","59","3586","241","5483","9245","8","53","53","6","2"
"135","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","58","3420","236","5776","9407","46","55","55","3","0"
"133","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","87","6942","191","380","7557","30","74","74","13","0"
"131","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","34","331","262","10024","10425","31","27","27","7","1"
"134","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","87","5624","202","1956","7799","11","74","74","13","2"
"132","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","26","90","319","10855","10973","7","18","18","8","0"
"136","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","24","1592","284","9730","11456","50","21","21","3","0"
"139","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","82","7435","208","286","7940","6","68","68","14","0"
"137","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","32","333","294","10511","10894","10","30","30","2","0"
"138","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","22","141","318","11054","11226","7","16","16","6","0"
"140","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","61","7242","278","1786","9318","44","54","54","7","0"
"141","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","67","3256","220","5305","8726","6","58","58","9","0"
"142","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","37","1000","232","9394","10485","23","27","27","10","3"
"145","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","90","6805","208","285","7336","16","77","77","13","0"
"144","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","26","120","286","10843","10997","10","19","19","7","0"
"146","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","86","5659","210","2335","8219","4","74","74","12","0"
"143","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","21","327","308","11064","11465","41","16","16","5","0"
"147","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","55","4185","242","5244","9626","12","51","51","4","2"
"150","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","16","103","343","11489","11649","41","12","12","4","0"
"148","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","47","1052","237","8678","9815","12","36","36","11","0"
"149","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","26","298","273","10887","11219","2","23","23","3","0"
"152","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","78","5908","182","2286","8423","38","68","68","10","1"
"154","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","31","1593","270","9091","10822","43","28","28","3","0"
"153","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","55","3767","245","5516","9456","6","45","45","10","0"
