"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"noDecay"
"05/17/2020 16:36:21:181 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","openWindows?","changeAspiration?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgWindows?","limitedFund?","randomBoost?","orgWindowGen","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows","totalOrgWindows"
"42","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","127","7156.955136320008","301","332","42","1162","2","88","88","39","9","833"
"43","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","134","7986.5187389240145","256","342","90","1276","9","97","97","37","9","934"
"40","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","138","7071.979824260004","269","328","52","1185","3","98","98","40","16","859"
"41","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","141","7447.200300900011","208","349","79","1242","2","88","88","53","8","894"
"46","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","135","7440.791256916006","253","347","85","1224","6","96","96","39","14","879"
"44","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","132","6992.185168800004","285","339","70","1186","4","99","99","33","10","847"
"45","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","126","7533.555715824002","359","333","53","1257","4","85","85","41","6","925"
"49","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","124","7309.772958808006","330","351","65","1214","5","77","77","47","9","864"
"48","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","132","7710.969733636016","302","346","58","1253","4","94","94","38","12","908"
"47","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","119","7702.921700596002","355","319","62","1209","9","89","89","30","10","894"
"50","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","139","7839.067726044005","272","353","76","1288","4","104","104","35","14","935"
"51","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","136","7233.119012296005","262","353","58","1184","5","94","94","42","12","831"
"52","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","145","7368.947633436008","249","359","60","1223","2","89","89","56","10","864"
"55","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","147","7794.760309144001","232","356","50","1245","2","96","96","51","12","891"
"56","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","137","7639.380498956015","259","367","51","1236","3","98","98","39","11","869"
"53","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","142","7957.087040668006","258","333","84","1261","1","83","83","59","8","931"
"57","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","123","7198.370246856015","286","347","86","1193","14","95","95","28","6","846"
"54","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","122","8182.5856071040225","352","388","80","1328","5","96","96","26","19","941"
"58","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","141","7150.840582267997","326","335","24","1272","5","94","94","47","9","939"
"60","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","139","6855.8451417680035","239","334","73","1147","5","82","82","57","7","813"
"59","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","148","7864.2920915880095","228","347","75","1295","4","92","92","56","6","950"
"61","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","143","7337.390816136011","222","393","76","1218","4","94","94","49","15","829"
"62","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","134","7250.324860740005","265","366","71","1217","4","87","87","47","8","854"
"67","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","141","7542.853645123999","244","360","61","1243","5","99","99","42","15","883"
"69","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","136","7553.912779559988","289","337","79","1273","7","96","96","40","10","937"
"70","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","132","7513.315685200006","322","319","72","1253","0","102","102","30","10","935"
"63","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","125","7363.364372927998","320","340","56","1221","4","91","91","34","4","882"
"66","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","145","7234.728732739999","230","343","50","1168","1","100","100","45","11","826"
"65","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","122","8169.816214639997","358","334","87","1308","6","98","98","24","11","975"
