"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"AspirationOn4"
"02/02/2020 16:31:55:421 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"62","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","24","1","0.3","0","true","true","true","true","1001","93","443","219","70","742","15","72","72","21","10"
"61","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","24","1","0.3","0","true","true","true","true","1001","37","63","291","13","291","4","19","19","18","19"
"63","0.4","4","0.08","15","0.25","0.4","6.5","2","1000","1","24","1","0.3","0","true","true","true","true","1001","94","713","184","90","998","7","67","67","27","4"
"64","0.4","4","0.08","20","0.25","0.4","6.5","2","1000","1","24","1","0.3","0","true","true","true","true","1001","81","1112","225","123","1446","10","62","62","19","8"
"57","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","48","0.6","0.3","0","true","true","true","true","1001","8","59","331","1","331","73","5","5","3","5"
"60","0.4","4","0.08","20","0.25","0.4","6.5","2","1000","1","48","0.6","0.3","0","true","true","true","true","1001","66","1153","286","36","1452","6","55","55","11","4"
"58","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.6","0.3","0","true","true","true","true","1001","71","639","256","29","903","6","59","59","12","6"
"59","0.4","4","0.08","15","0.25","0.4","6.5","2","1000","1","48","0.6","0.3","0","true","true","true","true","1001","85","859","196","35","1110","5","71","71","14","4"
"65","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","36","1","0.3","0","true","true","true","true","1001","24","83","340","4","340","46","15","15","9","15"
"73","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","24","0.3","0.6","0","true","true","true","true","1001","55","135","292","2","292","2","38","38","17","38"
"68","0.4","4","0.08","20","0.25","0.4","6.5","2","1000","1","36","1","0.3","0","true","true","true","true","1001","87","949","207","194","1354","7","71","71","16","5"
"66","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","36","1","0.3","0","true","true","true","true","1001","50","650","307","91","1013","31","43","43","7","5"
"67","0.4","4","0.08","15","0.25","0.4","6.5","2","1000","1","36","1","0.3","0","true","true","true","true","1001","72","726","265","92","1082","16","63","63","9","7"
"74","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","24","0.3","0.6","0","true","true","true","true","1001","74","639","261","35","858","39","59","59","15","16"
"75","0.4","4","0.08","15","0.25","0.4","6.5","2","1000","1","24","0.3","0.6","0","true","true","true","true","1001","63","1113","295","38","1349","28","59","59","4","8"
"69","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","48","1","0.3","0","true","true","true","true","1001","17","69","344","12","344","51","11","11","6","11"
"76","0.4","4","0.08","20","0.25","0.4","6.5","2","1000","1","24","0.3","0.6","0","true","true","true","true","1001","86","1213","235","42","1425","4","70","70","16","9"
"79","0.4","4","0.08","15","0.25","0.4","6.5","2","1000","1","36","0.3","0.6","0","true","true","true","true","1001","74","962","230","40","1161","11","67","67","7","5"
"77","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","36","0.3","0.6","0","true","true","true","true","1001","48","128","264","2","264","1","20","20","28","20"
"71","0.4","4","0.08","15","0.25","0.4","6.5","2","1000","1","48","1","0.3","0","true","true","true","true","1001","59","884","268","91","1226","23","54","54","5","2"
