"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"numOpts"
"06/07/2020 23:50:03:726 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalInsufBoost","totalNoSolution","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalAlreadyAdapted","totalOrgOpts","totalUtilizedOrgOpt","totalNonEligibleDisasterOpt"
"72","0.62","4","14","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","49","14477.61190060395","12606","2284","106","7","1043","7","22","22","27","0","632","1247","15","68"
"75","0.62","4","20","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","51","18085.84165289597","12606","2832","89","7","1063","9","27","27","24","0","787","1779","18","68"
"73","0.62","4","16","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","60","16532.268526007898","12606","2615","136","7","1171","8","32","32","28","0","838","1455","24","126"
"79","0.62","4","28","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","44","23122.984406371954","12606","3722","235","4","1098","9","29","29","15","0","789","2636","20","107"
"77","0.62","4","24","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","31","21261.14568251195","12606","3412","268","5","1115","3","16","16","15","0","554","2307","13","168"
"76","0.62","4","22","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","18730.13340789994","12606","3032","123","12","1112","2","29","29","16","0","648","1934","27","91"
"74","0.62","4","18","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","43","17972.49744636795","12606","2917","146","7","1045","4","24","24","19","0","576","1880","20","77"
"80","0.62","4","30","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","53","21737.230644931857","12606","3674","245","7","1041","4","33","33","20","0","914","2644","29","126"
"78","0.62","4","26","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","49","23333.514537463918","12606","3597","169","42","1119","5","32","32","17","0","948","2488","27","73"
"83","0.62","4","4","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","40","8854.519884827976","12606","1353","41","3","1053","9","15","15","25","0","388","301","6","84"
"81","0.62","4","0","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","40","7518.209374348002","12606","1150","22","3","1150","12","12","12","28","0","254","0","0","79"
