"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"decayAndWindow"
"06/08/2020 21:33:03:644 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgOpt?","limitedFund?","randomBoost?","orgOptGen","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"36","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.006","12606","true","true","true","true","true","false","true","""diffused""","false","1000","59","17381.433400775924","12606","2775","1597","225","7","817","86","811","3","43","43","16","0","1970","40"
"41","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.021","12606","true","true","true","true","true","false","true","""diffused""","false","1000","48","16909.578617171923","12606","2745","1799","171","12","654","72","779","6","37","37","11","0","1970","31"
"44","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","false","true","""diffused""","false","1000","51","17268.030891607934","12606","2763","1860","93","9","697","77","800","3","27","27","24","0","1970","24"
"45","0.6","4","10","0.3","4","4","1000","1","48","0.3","0","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","97","17155.454647871884","12606","2750","1148","317","3","1133","92","790","5","57","57","40","0","1970","52"
"38","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.012","12606","true","true","true","true","true","false","true","""diffused""","false","1000","60","17111.51381190794","12606","2768","1511","224","13","879","101","807","2","40","40","20","0","1970","38"
"43","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.027","12606","true","true","true","true","true","false","true","""diffused""","false","1000","50","17436.7790498079","12606","2783","1771","136","29","722","91","820","9","34","34","16","0","1970","25"
"42","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.024","12606","true","true","true","true","true","false","true","""diffused""","false","1000","56","17451.996233607915","12606","2792","1828","111","8","761","51","829","9","33","33","23","0","1970","24"
"49","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.012","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","67","17510.234574995928","12606","2784","1611","95","6","968","71","824","9","33","33","34","0","1970","24"
"47","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.006","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","59","17036.55538999181","12606","2707","1428","240","3","925","83","747","5","28","28","31","0","1970","23"
"46","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.003","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","60","17557.233746327845","12606","2804","1685","210","8","762","98","844","6","41","41","19","0","1970","35"
"51","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.018","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","45","17182.197382915896","12606","2753","1880","172","9","580","89","795","4","23","23","22","0","1970","19"
"48","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.009","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","56","17256.330820215884","12606","2786","1742","155","3","786","69","824","11","31","31","25","0","1970","20"
"50","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.015","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","63","17252.642830831915","12606","2762","1622","137","6","897","67","803","8","33","33","30","0","1970","25"
"52","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.021","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","47","17061.976866935936","12606","2733","1755","186","2","658","105","769","5","27","27","20","0","1970","22"
"53","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.024","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","52","17415.33609764793","12606","2778","1855","103","12","724","62","819","7","22","22","30","0","1970","15"
"54","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.027","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","44","17390.950899399897","12606","2768","1858","162","4","592","131","805","6","21","21","23","0","1970","15"
"56","0.6","4","10","0.3","4","4","1000","1","48","0.3","0","12606","true","true","true","true","true","false","true","""diffused""","false","1000","103","17354.035544535895","12606","2767","1133","313","12","1145","76","803","2","88","88","15","0","1970","86"
"55","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","40","17266.94613559189","12606","2782","1924","170","7","526","130","820","11","25","25","15","0","1970","14"
"58","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.006","12606","true","true","true","true","true","false","true","""diffused""","false","1000","69","17645.527459315927","12606","2821","1419","240","9","999","104","858","3","50","50","19","0","1970","47"
"60","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.012","12606","true","true","true","true","true","false","true","""diffused""","false","1000","50","17271.078380951898","12606","2775","1650","277","7","677","123","810","6","41","41","9","0","1970","35"
"59","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.009","12606","true","true","true","true","true","false","true","""diffused""","false","1000","65","17276.504510823917","12606","2753","1577","152","28","884","73","793","5","39","39","26","0","1970","34"
"63","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.021","12606","true","true","true","true","true","false","true","""diffused""","false","1000","52","17199.434327811872","12606","2741","1736","177","6","697","95","780","3","30","30","22","0","1970","27"
"57","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.003","12606","true","true","true","true","true","false","true","""diffused""","false","1000","60","17242.055363327927","12606","2770","1588","250","9","795","82","807","6","46","46","14","0","1970","40"
"64","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.024","12606","true","true","true","true","true","false","true","""diffused""","false","1000","54","17149.719738535914","12606","2746","1836","99","5","723","50","780","7","33","33","21","0","1970","26"
"62","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.018","12606","true","true","true","true","true","false","true","""diffused""","false","1000","55","17388.055948883954","12606","2773","1785","120","5","773","55","814","2","35","35","20","0","1970","33"
"65","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.027","12606","true","true","true","true","true","false","true","""diffused""","false","1000","56","17134.213700671946","12606","2750","1598","222","5","763","119","787","9","43","43","13","0","1970","34"
"61","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.015","12606","true","true","true","true","true","false","true","""diffused""","false","1000","41","17479.53585983989","12606","2800","1878","233","32","529","95","840","3","33","33","8","0","1970","30"
"66","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","false","true","""diffused""","false","1000","43","17438.12424257591","12606","2774","1910","110","14","656","56","812","4","28","28","15","0","1970","24"
"72","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.015","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","56","17283.216014159865","12606","2754","1703","146","9","781","80","798","13","35","35","21","0","1970","22"
"68","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.003","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","57","16911.634627675885","12606","2735","1644","188","14","757","94","774","10","38","38","19","0","1970","29"
"70","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.009","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","58","17208.124045223893","12606","2788","1716","126","4","861","48","825","10","33","33","25","0","1970","23"
"71","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.012","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","59","16984.024196763963","12606","2726","1608","167","7","805","106","758","9","33","33","26","0","1970","24"
"69","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.006","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","55","17506.27628450798","12606","2797","1748","158","20","778","67","834","4","26","26","29","0","1970","22"
