"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"randomChance"
"06/11/2020 23:14:01:552 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","randomChance","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"67","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","0","true","true","true","true","false","true","true","false","1000","40","5384.924390764","5267.075609236029","818","51","107","4","402","242","799","11","12","12","28","0","19","1"
"62","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","6.0E-4","true","true","true","true","false","true","true","false","1000","41","5660.366626572009","4991.633373428031","858","134","101","5","408","194","770","14","16","16","25","0","88","2"
"65","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","9.0E-4","true","true","true","true","false","true","true","false","1000","44","6063.979348288002","4588.020651712029","926","128","76","3","458","249","832","10","12","12","32","0","94","2"
"66","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","0.001","true","true","true","true","false","true","true","false","1000","40","6213.077944520002","4438.922055480027","970","171","92","3","453","236","846","13","15","15","25","0","124","2"
"72","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","5.0E-4","true","true","true","true","false","true","true","false","1000","57","5872.085584700002","4779.914415300036","909","96","55","7","573","165","837","11","13","13","44","0","73","2"
"73","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","6.0E-4","true","true","true","true","false","true","true","false","1000","43","5911.424335048007","4740.575664952031","928","106","129","7","441","232","845","12","13","13","30","0","83","1"
"70","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","3.0E-4","true","true","true","true","false","true","true","false","1000","55","5621.822655364001","5030.177344636019","868","89","74","7","491","186","812","16","21","21","34","0","56","5"
"78","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","0","true","true","true","true","false","true","true","false","1000","44","5510.193556164006","5141.8064438360325","835","69","85","4","433","231","816","13","13","13","31","0","19","0"
"64","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","8.0E-4","true","true","true","true","false","true","true","false","1000","44","5546.750210804002","5105.24978919602","865","127","92","7","391","232","769","15","16","16","28","0","96","1"
"74","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","7.0E-4","true","true","true","true","false","true","true","false","1000","46","5740.892723703998","4911.107276296046","859","99","103","7","379","257","783","13","14","14","32","0","76","1"
"79","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","1.0E-4","true","true","true","true","false","true","true","false","1000","41","5929.577574416003","4722.422425584026","890","96","106","3","404","273","857","6","8","8","33","0","33","2"
"71","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","4.0E-4","true","true","true","true","false","true","true","false","1000","49","5646.391840247996","5005.608159752028","884","89","98","9","426","246","813","14","16","16","33","0","71","2"
"76","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","9.0E-4","true","true","true","true","false","true","true","false","1000","37","5896.659625060002","4755.340374940037","916","134","115","6","365","283","809","12","13","13","24","0","107","1"
"75","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","8.0E-4","true","true","true","true","false","true","true","false","1000","45","5490.693982283996","5161.306017716039","856","124","92","7","389","225","774","17","19","19","26","0","83","2"
