"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"baseline"
"06/07/2020 02:47:23:297 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpt","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOpportunitiesMissed","totalOptOpen","totalInsufBoost","totalNoSolution","totalDisasterOpportunities","totalUtilizedDisasterOpportunities","totalUtilizedOpportunities","totalNeededOpportunities","sufficientCap","totalUtilized"
"56","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","41","12251.857136423969","38217","1265","1971","143","6","1109","4","15","15","26","0"
"57","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","50","13290.40388970396","38217","1179","2031","130","9","1115","9","27","27","23","0"
"58","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","38","12167.043731655966","38217","1244","1932","93","4","1110","12","22","22","16","0"
"59","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","49","13064.856831555964","38217","1194","2012","61","2","1173","11","28","28","21","0"
"61","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","57","12302.862090443967","38217","1144","1983","71","8","1074","6","23","23","34","0"
"63","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","57","12477.451508079914","38217","1133","1971","63","3","1082","11","24","24","33","0"
"62","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","50","11784.07806399195","38217","1157","1875","83","4","1092","8","23","23","27","0"
"60","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","42","13298.68325347594","38217","1304","2054","98","22","1106","8","21","21","21","0"
"64","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","43","12602.786707263984","38217","1343","1958","73","7","1128","7","23","23","20","0"
"65","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","32","12609.89740396395","38217","1297","1957","141","7","1072","8","20","20","12","0"
