"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"adaptation"
"01/17/2020 15:20:21:738 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","officeRole","changeAspiration","EWProbDecay","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"118","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","2","0","0","0","0","0","0","0","2","0"
"115","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","1","0","0","0","0","0","0","0","1","0"
"116","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","0","0","0","0","0","0","0","0","0","0"
"124","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0","1001","9","0","0","0","0","0","0","0","9","0"
"123","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0","1001","5","0","0","0","0","0","0","0","5","0"
"119","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","6","0","0","0","0","0","0","0","6","0"
"120","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","0","0","0","0","0","0","0","0","0","0"
"122","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0","1001","3","0","0","0","0","0","0","0","3","0"
"127","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","2","0","0","0","0","0","0","0","2","0"
"121","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0","1001","5","0","0","0","0","0","0","0","5","0"
"130","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","3","0","0","0","0","0","0","0","3","0"
"126","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","3","0","0","0","0","0","0","0","3","0"
"134","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","2","0","0","0","0","0","0","0","2","0"
"125","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0","1001","1","0","0","0","0","0","0","0","1","0"
"136","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","1","0","0","0","0","0","0","0","1","0"
"131","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","3","0","0","0","0","0","0","0","3","0"
"133","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","7","0","0","0","0","0","0","0","7","0"
"128","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","2","0","0","0","0","0","0","0","2","0"
"132","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","1","0","0","0","0","0","0","0","1","0"
"135","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","0","0","0","0","0","0","0","0","0","0"
"137","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","1","0","0","0","0","0","0","0","1","0"
"129","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","3","0","0","0","0","0","0","0","3","0"
