"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"decayMemory"
"06/10/2020 21:56:16:729 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","disasterUti","EWProbDecay","randomChance","startingFund","openOpt?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgOpt?","limitedFund?","randomBoost?","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding"
"57","0.52","4","10","0.3","4","4","1000","1","0.01","1","0.3","0.042","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","8147.965743935987"
"53","0.52","4","10","0.3","4","4","1000","1","0.01","6","0.3","0.036","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","33","10658.679490911956"
"59","0.52","4","10","0.3","4","4","1000","1","0.01","2","0.3","0.042","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","39","9008.576615128002"
"60","0.52","4","10","0.3","4","4","1000","1","0.1","2","0.3","0.042","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","36","10658.948496055968"
"54","0.52","4","10","0.3","4","4","1000","1","0.1","6","0.3","0.036","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","47","10658.978418667983"
"61","0.52","4","10","0.3","4","4","1000","1","0.01","6","0.3","0.042","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","10408.036346219986"
"65","0.52","4","10","0.3","4","4","1000","1","0.01","1","0.3","0.048","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","41","7911.355410055996"
"66","0.52","4","10","0.3","4","4","1000","1","0.1","1","0.3","0.048","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","31","10658.96542684396"
"67","0.52","4","10","0.3","4","4","1000","1","0.01","2","0.3","0.048","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","38","8857.748643139981"
"62","0.52","4","10","0.3","4","4","1000","1","0.1","6","0.3","0.042","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","48","10658.95327685599"
"68","0.52","4","10","0.3","4","4","1000","1","0.1","2","0.3","0.048","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","44","10658.980564379965"
"31","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.018","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","64","10658.974369211996"
"69","0.52","4","10","0.3","4","4","1000","1","0.01","6","0.3","0.048","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","34","10658.992760851985"
"75","0.52","4","10","0.3","4","4","1000","1","0.01","2","0.3","0.054","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","34","9075.83611191999"
"39","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.024","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","60","10658.418935763979"
"74","0.52","4","10","0.3","4","4","1000","1","0.1","1","0.3","0.054","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","39","10658.995915179963"
"32","0.52","4","10","0.3","4","4","1000","1","0.1","48","0.3","0.018","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","65","10658.960999827976"
"73","0.52","4","10","0.3","4","4","1000","1","0.01","1","0.3","0.054","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","36","7980.993762091997"
"47","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","55","10658.668389015984"
"70","0.52","4","10","0.3","4","4","1000","1","0.1","6","0.3","0.048","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","41","10658.950232667996"
"76","0.52","4","10","0.3","4","4","1000","1","0.1","2","0.3","0.054","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","41","10658.959123303981"
"40","0.52","4","10","0.3","4","4","1000","1","0.1","48","0.3","0.024","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","56","10658.98439263199"
"77","0.52","4","10","0.3","4","4","1000","1","0.01","6","0.3","0.054","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","39","10539.658450095969"
"81","0.52","4","10","0.3","4","4","1000","1","0.01","1","0.3","0.06","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","39","8120.911936463994"
"82","0.52","4","10","0.3","4","4","1000","1","0.1","1","0.3","0.06","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","38","10658.96416426398"
"48","0.52","4","10","0.3","4","4","1000","1","0.1","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","57","10658.99723015198"
"83","0.52","4","10","0.3","4","4","1000","1","0.01","2","0.3","0.06","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","43","9286.29462964399"
"78","0.52","4","10","0.3","4","4","1000","1","0.1","6","0.3","0.054","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","40","10658.93698446797"
"84","0.52","4","10","0.3","4","4","1000","1","0.1","2","0.3","0.06","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","32","10658.998125823964"
"85","0.52","4","10","0.3","4","4","1000","1","0.01","6","0.3","0.06","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","37","10658.692803455966"
"89","0.52","4","10","0.3","4","4","1000","1","0.01","1","0.3","0","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","81","7642.249827235995"
"55","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.036","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","41","10658.900671827987"
"91","0.52","4","10","0.3","4","4","1000","1","0.01","2","0.3","0","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","97","9330.184212351985"
"90","0.52","4","10","0.3","4","4","1000","1","0.1","1","0.3","0","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","77","10658.982617907983"
"92","0.52","4","10","0.3","4","4","1000","1","0.1","2","0.3","0","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","86","10658.938152787969"
