"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"AspirationOn"
"02/02/2020 00:02:46:083 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","officeRole","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"45","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0.3","0.02","true","true","true","1001","14","37","337","80","337","16","9","9","5","9"
"86","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0.6","0.02","true","false","true","1001","15","83","319","102","319","46","12","12","3","12"
"88","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0.6","0.03","true","false","true","1001","14","46","324","224","324","8","10","10","4","10"
"90","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","1","0","true","false","true","1001","61","231","293","13","293","5","44","44","17","44"
"49","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0.6","0","true","true","true","1001","57","136","272","0","272","2","30","30","27","30"
"92","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","1","0.01","true","false","true","1001","41","224","293","22","293","11","36","36","5","36"
"94","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","1","0.02","true","false","true","1001","38","151","303","106","303","16","30","30","8","30"
"96","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","1","0.03","true","false","true","1001","22","55","301","231","301","4","11","11","11","11"
"51","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0.6","0.01","true","true","true","1001","39","128","303","18","303","13","28","28","11","28"
"100","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0","0.01","true","false","true","1001","7","0","307","27","307","48","0","0","7","0"
"98","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0","0","true","false","true","1001","1","0","324","21","324","88","0","0","1","0"
"53","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0.6","0.02","true","true","true","1001","22","105","303","91","303","18","13","13","9","13"
"102","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0","0.02","true","false","true","1001","2","0","354","94","354","32","0","0","2","0"
"104","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0","0.03","true","false","true","1001","11","0","319","250","319","3","0","0","11","0"
"55","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0.6","0.03","true","true","true","1001","8","43","332","246","332","9","6","6","2","6"
"106","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0.3","0","true","false","true","1001","20","73","330","10","330","30","12","12","8","12"
"108","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0.3","0.01","true","false","true","1001","29","72","309","16","309","3","16","16","13","16"
"110","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0.3","0.02","true","false","true","1001","10","46","351","106","351","66","9","9","1","9"
"57","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","1","0","true","true","true","1001","70","204","255","2","255","4","45","45","25","45"
"63","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","1","0.03","true","true","true","1001","12","73","331","241","331","5","12","12","0","12"
"112","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0.3","0.03","true","false","true","1001","11","26","348","249","348","6","6","6","5","6"
"69","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0","0.02","true","true","true","1001","10","0","307","93","307","7","0","0","10","0"
