"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"bigCap"
"05/16/2020 00:57:17:933 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","openWindows?","changeAspiration?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgWindows?","limitedFund?","randomBoost?","orgWindowGen","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows","totalOrgWindows"
"37","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","43","7070.267237388008","39","351","827","1194","0","24","24","19","5","844"
"38","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","118","57492.568783636016","0","350","433","1246","2","0","0","118","0","899"
"39","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","32","7184.771270856015","64","336","891","1214","5","17","17","15","1","879"
"40","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","124","61245.39076354819","0","374","451","1332","3","0","0","124","0","961"
"43","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","48","7210.260274940005","33","354","842","1211","1","20","20","28","4","858"
"42","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","115","57696.159619620106","0","368","482","1253","1","0","0","115","0","887"
"41","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","44","7477.489291532002","59","347","854","1215","3","18","18","26","2","868"
"46","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","116","55355.50356039617","0","330","470","1206","2","0","0","116","0","877"
"45","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","32","7077.268566876004","35","331","906","1153","3","20","20","12","2","823"
"44","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","110","56528.81481544805","0","339","468","1229","1","0","0","110","0","892"
"49","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","42","7479.93654193202","43","362","859","1230","2","17","17","25","7","872"
"47","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","49","7616.584492751991","46","307","883","1279","0","24","24","25","4","973"
"48","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","105","56045.49537686419","0","327","553","1216","4","0","0","105","0","892"
"52","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","117","53753.03168591601","0","330","477","1166","0","0","0","117","0","839"
"53","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","false","1000","44","7718.200727872","54","366","874","1260","2","21","21","23","4","896"
"50","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","true","1000","113","56524.87982006426","0","344","490","1228","3","0","0","113","0","884"
