"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"limitedFund"
"02/18/2020 17:54:36:893 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","startingFund","increaseChance","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"49","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5000","5.01","true","false","true","true","true","false","true","false","1000","67","4999.981713784012","0.018286215993790655","753","198","6766","7619","10","65","65","2","0"
"30","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","4500","3.01","true","false","true","true","true","false","true","false","1000","64","4499.956795960004","0.04320403999417932","502","206","4941","5546","7","61","61","3","2"
"52","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5500","5.01","true","false","true","true","true","false","true","false","1000","77","5499.997971824","0.0020281759967817337","436","142","6520","7050","5","71","71","6","1"
"41","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5000","4.01","true","false","true","true","true","false","true","false","1000","79","4999.955508236004","0.0444917639984439","374","177","5684","6154","5","69","69","10","4"
"33","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","5000","3.01","true","false","true","true","true","false","true","false","1000","71","4999.988062403999","0.011937595989000016","331","177","4794","5231","8","66","66","5","1"
"44","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5500","4.01","true","false","true","true","true","false","true","false","1000","80","5499.975365919996","0.02463408000081113","412","180","5480","6000","5","73","73","7","2"
"36","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","5500","3.01","true","false","true","true","true","false","true","false","1000","73","5499.987870008002","0.012129991990316835","301","171","4873","5275","7","69","69","4","2"
"55","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","4500","6.01","true","false","true","true","true","false","true","false","1000","88","4499.965135939996","0.034864059999094366","282","154","6975","7350","0","73","73","15","0"
"47","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","4500","5.01","true","false","true","true","true","false","true","false","1000","79","4499.9864867520055","0.013513247994415778","520","159","6736","7351","3","70","70","9","1"
"39","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","4500","4.01","true","false","true","true","true","false","true","false","1000","79","4499.978023396006","0.021976603990360388","391","174","5554","6041","3","71","71","8","4"
"50","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5000","5.01","true","false","true","true","true","false","true","false","1000","80","4999.994380752009","0.005619248001257127","347","157","6770","7208","4","74","74","6","3"
"42","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","5000","4.01","true","false","true","true","true","false","true","false","1000","76","4999.979527716003","0.020472283995629503","424","158","5802","6322","4","70","70","6","0"
"45","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","5500","4.01","true","false","true","true","true","false","true","false","1000","83","5499.993645971996","0.006354027994049716","506","173","5366","5978","5","69","69","14","0"
"53","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5500","5.01","true","false","true","true","true","false","true","false","1000","73","5499.994714388007","0.005285611996813433","441","182","6974","7506","4","67","67","6","1"
"56","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","4500","6.01","true","false","true","true","true","false","true","false","1000","76","4499.964583296002","0.035416704001523414","758","179","7661","8519","2","69","69","7","0"
"48","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","4500","5.01","true","false","true","true","true","false","true","false","1000","71","4499.980508032007","0.0194919679978387","805","224","6913","7825","5","63","63","8","3"
"51","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","5000","5.01","true","false","true","true","true","false","true","false","1000","79","4999.969128715996","0.03087128399509531","389","153","6781","7264","5","69","69","10","1"
"54","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","5500","5.01","true","false","true","true","true","false","true","false","1000","66","5499.964823368002","0.035176631999691566","751","186","7036","7878","3","59","59","7","0"
"58","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5000","6.01","true","false","true","true","true","false","true","false","1000","96","4999.990853959999","0.009146039994166077","518","144","6140","6773","2","84","84","12","1"
"61","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5500","6.01","true","false","true","true","true","false","true","false","1000","83","5499.981566900013","0.01843309999420306","359","153","7228","7677","3","72","72","11","1"
"64","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","4500","7.01","true","false","true","true","true","false","true","false","1000","82","4499.953986667999","0.04601333199616109","562","163","8160","8825","7","76","76","6","2"
"59","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5000","6.01","true","false","true","true","true","false","true","false","1000","89","4999.96565696001","0.03434303999173194","461","152","7129","7681","1","70","70","19","2"
"67","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5000","7.01","true","false","true","true","true","false","true","false","1000","89","4999.968382287997","0.031617712000634235","783","164","7533","8438","5","81","81","8","0"
"70","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5500","7.01","true","false","true","true","true","false","true","false","1000","80","5499.966087540017","0.03391245998877679","604","155","8274","8968","1","69","69","11","1"
"57","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","4500","6.01","true","false","true","true","true","false","true","false","1000","75","4499.966366252002","0.03363374799718244","779","180","7788","8671","5","68","68","7","0"
"62","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5500","6.01","true","false","true","true","true","false","true","false","1000","71","5499.964917936002","0.035082063997123214","649","181","8313","9051","5","62","62","9","3"
"65","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","4500","7.01","true","false","true","true","true","false","true","false","1000","77","4499.974338816006","0.025661183994367676","836","184","8882","9820","2","71","71","6","1"
"73","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","4500","8.01","true","false","true","true","true","false","true","false","1000","84","4499.939121852001","0.060878147999244625","733","173","8830","9665","2","69","69","15","0"
"60","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","5000","6.01","true","false","true","true","true","false","true","false","1000","83","4999.991163564006","0.008836435996173897","755","166","7475","8349","4","78","78","5","3"
"76","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5000","8.01","true","false","true","true","true","false","true","false","1000","87","4999.940770355999","0.05922964399542652","719","162","8728","9545","4","74","74","13","1"
"68","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5000","7.01","true","false","true","true","true","false","true","false","1000","81","4999.967041576","0.03295842399326787","779","190","8599","9467","1","66","66","15","1"
"63","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","5500","6.01","true","false","true","true","true","false","true","false","1000","73","5499.968281696006","0.03171830398643927","689","187","7987","8774","4","67","67","6","1"
"71","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5500","7.01","true","false","true","true","true","false","true","false","1000","86","5499.95100273601","0.0489972639883014","799","158","8061","8959","5","73","73","13","1"
"79","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5500","8.01","true","false","true","true","true","false","true","false","1000","86","5499.958317844006","0.041682155995092174","827","157","8637","9575","5","75","75","11","0"
"74","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","4500","8.01","true","false","true","true","true","false","true","false","1000","80","4499.944553408007","0.055446591994749994","685","144","9893","10675","9","66","66","14","0"
"66","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","4500","7.01","true","false","true","true","true","false","true","false","1000","68","4499.992339371999","0.0076606279968229885","978","202","9592","10666","3","60","60","8","2"
"69","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","5000","7.01","true","false","true","true","true","false","true","false","1000","96","4999.980824456008","0.019175543998170674","459","136","7732","8289","1","80","80","16","1"
"82","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","4500","9.01","true","false","true","true","true","false","true","false","1000","82","4499.998313503998","0.0016864959924576262","715","144","10146","10969","8","77","77","5","0"
"72","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","5500","7.01","true","false","true","true","true","false","true","false","1000","89","5499.996665072003","0.003334927990871428","841","152","7913","8862","5","78","78","11","0"
