agencyid,extremeWeatherProb,disasterProb,extremeWeatherThreshold,disasterThreshold,worstWeatherIntensity
5031,0.107,0.05,5.387785654,5.526458923,5.515750242
4008,0.125,0.065,6.367375344,6.480850665,6.447320489
5036,0.107,0.05,5.395895689,5.535750145,5.503134728
9208,0.08,0.045,4.960774007,5.043317292,4.97283747
5146,0.107,0.05,5.397450702,5.529565858,5.489599664
9012,0.08,0.045,4.965585487,5.074703689,4.977154515
9045,0.08,0.045,4.959126357,5.070227093,5.020901627
3013,0.12,0.06,5.875349799,5.987276739,5.974901458
5047,0.107,0.05,5.390080459,5.535418541,5.464101808
25,0.08,0.045,4.946696689,5.056273457,5.012315175
9182,0.08,0.045,4.950138475,5.034163084,5.014801008
9172,0.08,0.045,4.938909959,5.050041644,4.978005449
5033,0.107,0.05,5.392799798,5.537929034,5.477547141
9035,0.08,0.045,4.953744067,5.050310083,4.999644002
20,0.08,0.045,4.974127028,5.079672768,5.04130291
5141,0.107,0.05,5.37750099,5.523297322,5.441538127
9061,0.08,0.045,4.932525169,5.047828093,4.973724592
9164,0.08,0.045,4.959028928,5.048652691,5.003804555
5001,0.107,0.05,5.403626937,5.536241352,5.46193178
5032,0.107,0.05,5.394345238,5.53257023,5.481626089
6019,0.08,0.045,4.954987566,5.071004718,5.017734281
5148,0.107,0.05,5.396403801,5.52880457,5.507122594
6,0.08,0.045,4.949157589,5.036514036,5.002733719
9013,0.08,0.045,4.965759766,5.057058271,5.017168932
6111,0.08,0.045,4.960848695,5.055059978,5.005291745
5040,0.107,0.05,5.395953312,5.540178838,5.457621793
5060,0.107,0.05,5.393565836,5.521704741,5.484396286
9091,0.08,0.045,4.940483742,5.055543757,5.009086293
5002,0.107,0.05,5.381652522,5.518566369,5.455991493
9027,0.08,0.045,4.952246932,5.0511914,5.025531808
9033,0.08,0.045,4.960512266,5.073669115,4.976188979
5035,0.107,0.05,5.40379131,5.543388313,5.512821735
8001,0.08,0.045,4.948983286,5.059334221,4.986785444
9015,0.08,0.045,4.964356486,5.078808093,4.984515452
3083,0.125,0.065,6.374641184,6.491045047,6.493946333
7006,0.107,0.05,5.389191187,5.546565332,5.451870481
3094,0.125,0.065,6.362061905,6.481699159,6.468563911
3073,0.125,0.065,6.352996497,6.467776317,6.498976158
3034,0.125,0.065,6.363450141,6.477527696,6.455210011
3045,0.125,0.065,6.366409198,6.488759251,6.464113755
