"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"baseline"
"06/07/2020 23:19:17:579 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpt","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"89","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","36","12422.661335599954","12606","2005","1350","104","9","417","108","1120","9","17","17","19","0","893","8"
"88","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","47","13320.746954703949","12606","2052","1352","84","5","509","80","1142","7","22","22","25","0","917","15"
"91","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","50","12329.568473047953","12606","1960","1226","68","3","566","71","1079","11","26","26","24","0","890","15"
"86","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","40","12058.762358555978","12606","1866","1216","116","7","387","118","1061","5","22","22","18","0","808","17"
"90","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","31","12768.956535195972","12606","1992","1422","95","9","339","107","1091","12","20","20","11","0","905","8"
"92","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","40","12467.282130159949","12606","1959","1248","84","4","508","97","1091","6","18","18","22","0","870","12"
"93","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","48","12521.427505531974","12606","1971","1322","45","10","501","74","1125","9","19","19","29","0","852","10"
"94","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","42","13074.076631335933","12606","2045","1384","105","10","399","129","1134","6","18","18","24","0","915","12"
"97","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","42","12819.072337879983","12606","2023","1282","116","9","482","116","1156","7","18","18","24","0","871","11"
"96","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","42","12497.572851339959","12606","2001","1278","119","23","436","127","1050","3","18","18","24","0","954","15"
"98","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","38","12550.707199471944","12606","1980","1354","100","3","392","110","1058","6","21","21","17","0","927","15"
"99","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","12579.323139079965","12606","1957","1285","48","9","522","75","1095","6","18","18","27","0","870","12"
"95","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","11906.097409015958","12606","1896","1200","92","8","451","117","1075","14","28","28","17","0","824","14"
"100","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","44","11712.024771303966","12606","1881","1325","51","4","407","72","1047","6","22","22","22","0","840","16"
