"","meanRIskThreshold","scanningRange","numWindows","badImpact","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","param_set_id","copingNum","adaptNum","insufBoost","disasterWindows","windowMissed","windowsOpen","noSolution","utilizedWindows","NeededWidows","notNeeded","run_id","run_duration"
"82",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,135,24,114,291,381,531,12,24,24,0,1,13.8808286190033
"83",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,136,39,81,252,379,488,2,26,26,13,3,14.0509440898895
"84",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,130,21,133,280,408,582,21,20,20,1,5,16.0966186523438
"85",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,127,36,95,305,380,514,7,32,32,4,7,17.9698901176453
"86",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,141,33,119,299,361,513,6,27,27,6,22,18.3351564407349
"87",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,138,24,129,290,408,570,10,23,23,1,24,16.9191143512726
"88",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,135,18,130,280,355,507,5,17,17,1,13,12.8495481014252
"89",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,136,21,110,308,391,532,10,21,21,0,2,11.3455638885498
"90",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,123,29,139,261,368,527,1,19,19,10,4,37.4428610801697
"91",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,124,33,105,290,393,534,7,29,29,4,19,28.4239988327026
"92",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,134,39,106,301,380,516,4,26,26,13,21,14.3254854679108
"93",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,131,35,107,273,343,482,4,28,28,7,23,14.0743947029114
"94",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,141,28,123,273,384,532,6,19,19,9,25,14.8896102905273
"95",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,136,37,108,251,399,533,0,26,26,11,14,23.3735644817352
