agencyid,extremeWeatherProb,disasterProb,extremeWeatherThreshold,disasterThreshold,worstWeatherIntensity
9205,0.08,0.025,4.823748807,4.95144947,4.851831625
9078,0.08,0.025,4.817137518,4.951034186,4.836787743
4025,0.125,0.05,6.266339689,6.389803348,6.34880193
9036,0.08,0.025,4.824015835,4.955271796,4.824331326
9019,0.08,0.025,4.826117563,4.959111592,4.87494519
9159,0.08,0.025,4.813858144,4.963387679,4.863330588
9017,0.08,0.025,4.833306594,4.96570369,4.849556453
5031,0.107,0.035,5.285676097,5.423418663,5.362500939
4008,0.125,0.05,6.258259731,6.37061386,6.348911592
5036,0.107,0.035,5.279754454,5.409825438,5.333662587
9208,0.08,0.025,4.814782453,4.940857616,4.841195637
5146,0.107,0.035,5.292710738,5.425892617,5.347474334
9012,0.08,0.025,4.815828004,4.951374476,4.868036048
9045,0.08,0.025,4.834214518,4.967519607,4.836426846
3013,0.12,0.045,5.767060543,5.896170067,5.867880586
5047,0.107,0.035,5.274784166,5.406952394,5.328054713
25,0.08,0.025,4.808793971,4.935715076,4.84726362
9182,0.08,0.025,4.823773058,4.967986122,4.880924685
9172,0.08,0.025,4.819174214,4.954770478,4.841574418
5033,0.107,0.035,5.274224732,5.404704174,5.363171678
9035,0.08,0.025,4.823375748,4.952951396,4.867753775
20,0.08,0.025,4.81394157,4.949246475,4.850922347
5141,0.107,0.035,5.278694727,5.422938903,5.352634865
9061,0.08,0.025,4.825091259,4.96139971,4.829212749
9164,0.08,0.025,4.821929029,4.961868445,4.856865103
5001,0.107,0.035,5.284176342,5.42258575,5.32393071
5032,0.107,0.035,5.283041951,5.413867191,5.366401726
6019,0.08,0.025,4.826044832,4.95455347,4.858412746
5148,0.107,0.035,5.278197008,5.418236416,5.355033257
6,0.08,0.025,4.812737469,4.939614063,4.837142125
9013,0.08,0.025,4.81768399,4.940130081,4.841443194
6111,0.08,0.025,4.823156479,4.944221375,4.841351639
5040,0.107,0.035,5.27564755,5.408855072,5.327004287
5060,0.107,0.035,5.271388782,5.401381405,5.354381816
9091,0.08,0.025,4.818868609,4.956223354,4.843578114
5002,0.107,0.035,5.281919279,5.413269913,5.356080211
9027,0.08,0.025,4.818797999,4.972522816,4.85148789
